Sector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guam|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Caimán|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Aceites y grasas|0.4451884|0.43948483|0.60076547|0.38161296|0.34587991|0.27753443|0.50651306|0.33899918|0.77884823|0.57232291|0.33036953|0.32518852|0.50302017|0.44744164|0.302347|0.60842353|0.25387299|0.41037875|0.24515989|0.1959292|0.36552507|0.26639503|0.3452273|0.1929827|0.40177727|0.2671971|0.78928959|0.33398965|0.28483334|0.39780951|0.40683752|0.58586556|0.28764123|0.45998669|0.33896244|0.24158932|0.56014144|0.21649438|0.40701076|0.59392035|0.234081|0.59176981|0.34861618|0.49043369|0.27756831|0.23954707|0.0|0.57574058|0.10459381|0.97908247|0.62322664|0.16854742|0.21933286|0.54520643|1.0|0.50661123|0.27622366|0.94984889|0.2987771|0.31803|0.43095261|0.21232286|0.24084625|0.3318719|0.42733973|0.34018791|0.37872386|0.30484146|0.23211679|0.66429472|0.11946776|0.29868808|1.0|0.0|0.32489073|0.35707951|0.33378905|0.63874638|0.70279551|0.38655436|0.24976763|0.1025117|0.099727377|0.0|0.62504697|0.34940755|0.053680763|0.20555517|0.22466165|0.4066214|0.97828025|0.55167812|0.60448277|0.22692686|0.24107793|0.78502321|0.33886036|0.17519672|0.33621949|0.50288677|0.25041261|0.30497545|0.0|0.26217124|0.28770211|0.17070237|0.33814716|0.44565335|0.12460149|0.3460528|0.26494738|0.34133673|1.0|0.38692707|0.29672027|0.31678239|0.40121335|0.33415022|0.39854521|0.2554462|0.34937564|0.43405241|0.87470615|0.15316901|0.21273798|0.64975858|0.41638106|0.43539205|0.37903851|0.67190766|0.28671241|0.38299343|0.80570078|0.30721104|0.18880445|0.62051749|0.16547664|0.59237003|0.26615578|0.17702758|0.18102324|0.75726843|0.29748785|0.16355962|0.092459768|0.18288305|0.0|0.38084906|0.4314996|0.37885842|0.36298463|0.20799644|0.38094527|0.27300793|0.16640267|0.16012326|0.36288378|0.52107477|0.76679909|0.099328592|0.12977129|0.16878706|0.29166153|0.36975762|0.35190353|1.0|0.31030568|0.64883143|0.25773135|0.31606656|0.4219825|0.53832984|0.48549914|0.27031198|0.90891719|0.44632894|0.13311201|0.74072611|0.23111777|0.30232385|0.36893189|0.34784997|0.39917767
Acuícola y pesquero|0.28446618|0.50012255|0.58692586|0.38161296|0.15233585|0.19754694|0.041085854|0.13749264|0.13396849|0.10464557|0.31669384|0.47358698|0.14449804|0.66143602|0.28708392|0.07662949|0.28299522|0.13280877|0.13489418|0.17777944|0.2788454|0.23766594|0.33148754|0.14303823|0.36046919|0.2528941|0.27831358|0.30493185|0.71287471|0.29988053|0.18099824|0.54938149|0.48038858|0.012331734|0.33896244|0.22782347|0.57269025|0.16991228|0.13994077|0.70793664|0.54185313|0.5424161|0.33326933|0.6110462|0.1610502|0.029114764|0.0|0.21551996|0.57047671|0.12470002|0.11292616|0.1426979|0.32783639|0.28552371|1.0|0.75923753|0.54220098|0.58404928|0.63847595|0.75536954|0.33807707|0.70143926|0.61227882|0.30419537|0.74185371|0.0|0.31788135|0.29059523|0.011996252|0.63405216|0.031727359|0.17647468|0.25812325|0.0|0.7152949|0.26010895|0.27470848|0.073219493|0.21889128|0.26305538|0.82904899|0.38856661|0.79450667|0.0|0.38373846|0.34940755|0.11883903|0.042521797|0.22466165|0.48334926|0.83374166|0.075087637|0.80348825|0.19993351|0.25418007|0.063594669|0.32525197|0.20474812|0.33621949|0.48643595|0.20063362|0.27681163|0.0|0.22242379|0.6478138|0.23025927|0.33814716|0.10831445|0.69936043|0.056672156|0.81854689|0.2689091|0.24219537|0.12911826|0.122435|0.31678239|0.40121335|0.32015896|0.20479698|0.044922538|0.042264868|0.17532688|0.26325533|0.23961046|0.48486492|0.13026446|0.33135775|0.22257853|0.62501174|0.61855459|0.28671241|0.10206953|0.4951582|0.25196022|0.78481102|0.55669487|0.33310309|0.70465088|0.25145888|0.85708916|0.18102324|0.13606|0.24116397|0.65942407|0.30854496|0.12559605|0.0|0.0|0.40882325|0.0|0.28134021|0.80846953|0.21694788|0.27300793|0.63318139|0.59457982|0.042686064|0.60082597|0.58174503|0.014175985|0.7795189|0.71365011|0.0|0.22504693|0.27010173|1.0|0.55216801|0.095794946|0.25773135|0.51839924|0.52919424|0.090217561|0.40838167|0.077420041|0.075641073|0.415402|0.3244209|0.1328277|0.59676659|0.042487569|0.25465503|0.10586441|0.26132369
Agroindustrial|0.39892322|0.16001797|0.45938149|0.38161296|1.0|0.3562535|0.84623688|0.66736174|0.31600499|0.54475224|0.3759512|0.86473215|0.65900683|1.0|0.35901171|0.47902822|0.84514451|0.35354656|0.85324407|0.84354651|1.0|0.28005946|0.29148334|0.50335181|0.41937232|0.31069544|0.35588354|0.38488612|0.69663465|1.0|0.39381635|0.56831944|0.59809154|0.98055083|0.97894919|0.74667239|0.62175119|0.41598341|0.69209528|0.40603122|0.31593692|1.0|0.86227739|0.46461779|0.74562216|0.86231512|0.0|0.84955966|0.484698|0.86064374|0.7486462|0.65236109|0.74635053|0.73934501|1.0|0.63830864|0.70265651|0.80219257|0.62572819|0.8038435|0.27475932|0.63016868|0.28718215|1.0|0.58338982|1.0|0.91633803|0.26380563|0.85788006|0.72633672|0.9426465|0.73795867|1.0|0.0|0.81764352|1.0|1.0|0.76214844|0.84509087|0.71950829|0.87597597|0.66004109|0.71398151|0.61445075|0.49447191|1.0|0.4557299|0.26387358|0.22466165|0.70124406|0.6271863|0.78576142|0.57868266|0.68111062|0.78583241|0.59312993|0.38395628|0.66614431|0.33621949|0.56526077|0.50161314|0.94198763|0.74603176|0.7754665|0.34653756|0.55094028|0.33814716|0.97872418|0.38909197|0.37483698|0.34929603|1.0|0.59954464|0.94787157|0.78548014|0.31678239|0.40121335|0.36355269|0.37102544|0.46484345|0.96962202|0.61810458|0.46188402|0.83488488|0.5098446|0.53727537|0.95191634|1.0|0.64114994|0.72842538|1.0|0.49106464|0.58797634|0.84113657|0.62470669|0.66252863|0.57285094|0.68917197|1.0|0.72488582|1.0|0.79032594|0.39689872|0.6335994|0.48225382|0.88211107|0.0|0.94496858|0.71509176|0.33773366|1.0|0.58722496|0.40815541|0.92783022|0.838094|0.75166619|0.89291936|0.78316981|0.60925829|0.96741271|0.60412353|0.60547161|1.0|0.42828196|0.77781713|1.0|1.0|0.66630888|0.25773135|0.45435148|0.59940237|0.18961656|0.43264174|0.34562179|0.54047018|1.0|1.0|0.81702042|0.75088847|0.96721554|0.74194109|1.0|0.42544836
Agroquímicos|0.29801238|0.61337632|0.13323958|0.38161296|0.37292129|0.44441172|0.24742916|0.10426907|0.02344111|0.47853258|0.75513065|0.068363711|0.51495886|0.68040085|0.27217191|0.92801356|0.22445494|0.54958296|0.67172819|0.8182559|0.46782401|0.1798472|0.08081831|0.52049309|0.34405088|0.23857144|0.57091463|0.26945737|0.64958954|0.51068664|0.46096885|0.62168097|0.5010798|0.44582015|0.33896244|0.94053411|0.45682257|0.51706767|0.33697677|0.62398922|0.17266214|0.52476382|0.54481506|0.67622173|0.54118204|0.81684124|0.0|0.61452723|0.36842901|0.19767696|0.59012163|0.12855922|0.40630752|0.19973011|1.0|0.11395379|0.16163687|0.16491316|0.1331158|0.1521509|0.49986166|0.92029393|0.053263135|0.20802221|0.085569188|0.52831632|0.50072813|0.21974057|0.76644892|0.54995084|0.66338193|0.42568278|1.0|0.0|0.68508446|0.45611173|0.44032216|0.49276376|0.38488662|0.67180634|0.1085621|0.29068851|0.50831157|0.0|0.11409324|0.044237226|0.36170954|0.59085029|0.22466165|0.43524063|0.21716642|0.59252143|0.73991722|0.069413461|0.07026352|0.72236514|0.25622982|0.14532915|0.33621949|0.4699479|0.14511263|0.31962317|0.0|0.074239105|0.20142953|0.15818667|0.33814716|0.48482418|0.45998281|0.24316642|0.20022961|0.45078921|0.7168889|0.10919265|0.47392267|0.31678239|0.40121335|0.22678746|0.35693479|0.42089352|0.5323174|0.46294057|0.83541816|0.77616811|0.028378773|0.6364975|0.53913689|0.017285591|0.3239041|0.49413833|0.021707725|0.77096856|0.31265828|0.64192832|0.38514304|0.40897429|0.14842878|0.17108226|0.55171537|0.54778057|0.18102324|0.69973493|0.2552081|0.46930006|0.33576313|0.29875302|0.0|0.75773901|0.36813286|0.26657104|0.47890109|0.066481352|0.72781825|0.27300793|0.76920831|0.049738109|0.50321943|0.076638803|0.10733967|0.48571381|0.76365519|0.52334464|0.29166153|0.12563126|0.48004335|1.0|0.5242244|0.18615879|0.25773135|0.34097016|0.78528547|0.92560637|0.69830704|0.22263247|0.42020074|0.32309258|0.47632226|0.63612872|0.47725952|0.37649864|0.46296754|0.85484511|0.22062317
Artesanías|0.37028271|0.088126123|0.57375431|0.38161296|0.19944192|0.17520626|0.38329774|0.49610788|0.24278097|0.764099|0.38953206|0.57265437|0.5512408|0.54039282|0.38725874|0.54157543|0.34295881|0.11922458|0.3930282|0.24872094|0.1916908|0.32307699|0.41678989|0.39619055|0.43261066|0.7305128|0.69682449|0.39951909|0.49825722|0.20149699|0.30120966|0.74370682|0.56869882|0.090051234|0.096023597|0.016240258|0.3066324|0.10873106|0.26745436|0.36080211|0.58463341|0.27988333|0.26899102|0.36609155|0.43217748|0.34520918|0.0|0.64884853|0.58364445|0.45858204|0.28001463|0.3764413|0.52864313|0.45732006|1.0|0.78062761|0.34821072|0.77685916|0.42609161|0.78123093|0.19453563|0.22546886|0.3413862|0.40449822|0.75975251|0.16904102|0.23281747|0.39252421|0.13482431|0.78430784|0.23516309|0.60382825|1.0|0.0|0.42673856|0.17461847|0.1795567|0.3331393|0.36010227|0.33887184|0.85581923|0.15513068|0.20628718|0.0|0.22138941|0.19548406|0.53905731|0.54146355|0.22466165|0.37294227|0.77368814|0.49319431|0.78602767|0.21482119|0.28867972|0.17935762|0.39744154|0.63932383|0.33621949|0.54996586|0.52674598|0.33319193|0.0|0.50206661|0.41723734|0.26910967|0.097491905|0.019667095|0.18960685|0.40346652|0.61038542|0.18417488|0.30023944|0.43834934|0.1898241|0.31678239|0.40121335|0.44640258|0.38489959|0.34841818|0.071882457|0.29794723|0.63401973|0.37080184|0.42705038|0.69516373|0.2340063|0.2616598|0.22910132|0.7883383|0.28671241|0.33682635|0.54314792|0.41003275|0.46552336|0.45403516|0.62564349|0.32928631|0.01690672|0.20918982|0.18102324|0.301763|0.3681798|0.40722203|0.25868553|0.076089591|0.0|0.21031116|0.35575873|0.40682632|0.18747288|0.13057417|0.31740212|0.27300793|0.30191684|0.20523313|0.11765496|0.21206886|0.73566401|0.45635363|0.48380089|0.39086777|0.029092692|0.44306162|0.18797685|1.0|0.1091423|0.43473423|0.25773135|0.38456234|0.39972809|0.50415659|0.26720756|0.31657493|0.52829975|0.50498736|0.41611707|0.23402087|0.1484184|0.31687251|0.12493352|0.3057043|0.3590219
Artículos de hogar oficina hoteles e industrial|0.19761662|0.23011762|0.40207654|0.38161296|0.57103974|0.62789965|0.69682717|0.56773168|0.27225193|0.74198389|0.28636456|0.87875211|0.39075911|0.39190462|0.23325603|0.52674276|0.6898061|0.18669666|0.88802242|0.76165867|0.24786523|0.5477981|0.17939398|0.75317186|0.12341581|0.71736348|0.65046936|0.76519161|0.5967598|0.25730374|0.084996402|0.53005278|0.43056566|0.63468987|0.082607187|0.46419814|0.32203126|0.23127943|0.81073183|0.31571749|0.60125881|0.23294026|0.28439933|0.29871032|0.76071465|0.39929858|0.0|1.0|0.66662675|0.70169216|0.71404123|0.43863565|0.95844835|0.33490393|0.41326529|0.16785057|0.12136839|0.48834765|0.58744925|0.46179897|0.20772055|0.31301075|0.14119287|0.12598015|0.41189069|0.26396197|0.1487731|0.49729133|0.67804825|0.0|0.88577414|0.47552896|1.0|0.0|0.92959464|0.56819105|0.72081232|0.68513334|0.67392707|0.93816388|0.26354|0.54491812|0.48174059|0.41986796|0.37101769|0.092535891|0.17613794|0.69300246|0.22466165|0.54813313|0.36035115|0.88627911|0.2803314|0.32829905|0.18692827|0.60825449|0.28336436|0.16137114|0.33621949|0.40712649|0.15879864|0.76591682|0.54960316|0.13670954|0.22995131|0.64661288|0.076995507|0.28418678|0.50096244|0.27137852|0.73458958|0.57222831|0.20029971|0.15996933|0.25697279|0.31678239|0.16783059|0.27941996|0.30173904|0.39296159|0.22944444|0.14883453|0.70675933|0.74564123|0.61283535|0.38875172|0.12429237|0.6912595|0.55398637|0.21956743|0.28671241|0.7246716|0.22558267|0.87840712|0.29435119|0.38483888|0.1199984|0.57514703|0.29128554|0.32145712|0.52377099|0.97069228|0.67100447|0.35078597|0.55332142|0.77130914|0.0|0.25367042|0.22287403|0.29491413|0.092840821|0.29676586|0.16218945|0.27300793|0.074820802|0.69897246|0.19351673|0.47893864|0.51830018|1.0|0.42278343|0.4519496|0.29166153|0.34012866|0.24141496|0.38469386|0.20841728|0.83785802|0.25773135|0.49876791|0.4463926|0.5792377|0.29653481|0.14612822|0.84273779|0.36886543|0.38648942|0.77790165|0.28608507|0.6434508|0.17330147|0.26248261|0.14491314
Autopartes|0.95960581|0.25754684|0.44273135|0.08883936|0.62438643|0.01375738|0.21621157|0.58512706|0.72796202|0.44721889|0.26954162|0.48675245|0.42388666|0.89788616|0.76052469|0.41721135|0.29648501|0.78680474|0.77347136|0.46797967|0.86533308|0.29337955|0.23532224|0.38252494|0.31170815|0.33828336|0.47213519|1.0|0.19651257|0.44502807|0.43441328|0.681678|0.54022849|0.18906504|0.14969705|0.65231955|0.51210672|0.2755886|0.70921606|0.45860964|0.20771134|0.34061539|0.80987179|0.19064347|0.50664163|0.7321409|0.0|0.6302734|0.49770951|0.35337663|0.6052469|0.62260479|0.82314032|0.58545697|0.36224484|0.55281234|0.51642531|0.29472327|0.68257499|0.25718239|0.7336396|0.82039678|0.47999829|0.36220336|0.45392346|0.7114259|0.27426246|0.67591715|0.80266523|0.30771405|0.5122087|0.33470723|1.0|0.0|0.79467273|0.3916378|0.37853727|1.0|0.77735066|0.83235466|0.56782383|0.63970459|0.6731078|0.71150804|0.23432097|0.13313204|0.37534359|0.71918154|0.68741137|0.51543748|0.46665022|0.8363142|0.45927536|0.58965898|0.6797452|0.40180326|0.20321262|0.46416116|0.083935365|0.25021595|0.22031361|0.37253463|0.0|0.48598135|0.36009878|0.60329533|0.13086995|0.94401628|0.40895367|0.35970205|0.24734372|0.54110676|0.388107|0.45269027|0.3098093|0.04797104|0.12754373|0.76649344|0.42871335|0.29564172|0.74077946|0.34350204|0.72325706|0.79348898|0.45075417|0.36254352|0.30443624|0.7943207|0.35459125|0.71109104|0.28671241|0.46065801|0.25436169|0.69225693|0.28155053|0.54161239|0.49018958|0.29177618|0.30446911|0.47890025|0.54494929|0.7266674|0.38338873|0.38761771|0.3490659|0.25511611|0.0|0.33808753|0.20843932|0.36352703|0.25489539|0.45654061|0.34754235|0.27300793|0.18063495|0.68690461|0.34651005|0.38619262|0.59446478|0.73984814|0.51591337|0.12641834|0.049464568|0.51060271|0.39579397|0.27028885|0.19376384|1.0|0.25773135|0.48624042|0.24226868|0.10221617|0.38099098|0.71179676|0.4020279|0.47214574|0.46175897|0.66007072|0.25411573|0.44027787|0.61277062|0.28870463|0.3316299
Avícola|0.27047411|0.24304551|0.049842495|0.38161296|0.21305938|0.34200713|0.077780783|0.053323198|0.078814626|0.070615023|0.12347491|0.096543208|0.062230144|0.076124519|0.11747424|0.11089903|0.16758876|0.19924365|0.03830047|0.095045537|0.056721039|0.12172997|0.13680972|0.082953855|0.15192804|0.1330924|0.055642337|0.19466072|0.10896271|0.091532581|0.13885936|0.38224888|0.053890824|0.16117482|0.33896244|0.34686822|0.038025506|0.36733404|0.064789049|0.10994481|0.082532875|0.50784761|0.11757651|0.084353171|0.052973408|0.054896928|0.0|0.078258976|0.066716433|0.090504497|0.53955865|0.06691625|0.052278243|0.23152632|1.0|0.1559222|0.13394633|0.057575364|0.056579981|0.13904443|0.23435952|0.07910721|0.12691082|0.15281138|0.057490729|0.39541537|0.077737749|0.15858403|0.089788154|0.43259695|0.065393478|0.10252172|1.0|0.0|0.044171214|0.066402875|0.075310849|0.051527236|0.036919955|0.043360557|0.12047943|0.083538726|0.21846125|0.0|0.069255218|0.34940755|0.073138855|0.090484172|0.22466165|0.05614613|0.070204377|0.0528678|0.087208323|0.12546055|0.085021794|0.1201918|0.10693485|0.099782303|0.33621949|0.33273125|0.1019285|0.1616208|0.0|0.10886912|0.097980395|0.089449219|0.33814716|0.18311892|0.1061334|0.1706007|0.10562985|0.077297449|0.081445545|0.21991593|0.064925924|0.31678239|0.40121335|0.10077994|0.071928769|0.10130537|0.12570223|0.16118982|0.060131826|0.05917988|0.07867229|0.054598421|0.06634438|0.12639333|0.16046596|0.43620777|0.28671241|0.10206953|0.052437626|0.060797583|0.072010785|0.087098822|0.10413446|0.053698119|0.47774535|0.078858957|0.18102324|0.089283869|0.123945|0.052231964|0.092459768|0.10339862|0.0|0.078302532|0.13542789|0.17631942|0.061690316|0.08578369|0.26075566|0.27300793|0.19483297|0.0995389|0.17996|0.09650217|0.062747382|0.056363046|0.11469667|0.09280739|0.29166153|0.21114054|0.061907113|1.0|0.40354532|0.054033924|0.25773135|0.085656293|0.46417409|0.12995204|0.08813449|0.15874366|0.12168673|0.23001006|0.19927467|0.40533149|0.50215364|0.16899505|0.30559129|0.16276152|0.13100609
Azúcar|0.56117666|0.88505137|0.766801|0.38161296|0.77501303|0.16135736|0.98739469|0.25752759|0.66102803|0.047599457|0.50259089|0.61680961|0.73358881|0.250554|0.53125823|1.0|0.86811352|0.4713752|0.90386361|0.57374066|0.43167889|0.44926193|0.51840699|0.020643696|0.8885572|0.28122902|0.023713008|0.57295692|1.0|0.47507164|0.039259195|0.92740703|0.77783358|1.0|0.33896244|0.070836067|0.65243459|0.0|0.79447472|0.53757149|0.33447707|0.73342204|0.52322048|0.50288796|0.22631158|0.90794992|0.81500006|0.034052398|0.47024745|1.0|0.23517293|0.31754273|0.20155901|0.48482156|1.0|0.39237446|0.81402552|0.59821916|0.57124484|0.55336815|0.54727793|0.64965057|0.3622987|0.52914041|0.85069633|0.066230215|0.46622303|0.92073822|0.84294248|1.0|0.91021156|0.70517063|1.0|0.0|0.056459293|0.79339468|0.40724218|0.73958766|1.0|0.17946497|0.33907247|0.2350536|0.40305239|0.0|0.76467651|0.34940755|0.57800531|0.23431855|0.22466165|0.71675658|0.79729974|0.93963987|0.51709706|0.40073806|0.42505613|0.033743128|0.53310835|0.6535902|0.33621949|0.51841104|0.45286089|0.52634001|0.0|0.73249054|0.38938934|0.43869489|0.33814716|0.59872431|0.32098666|0.58129424|0.39323187|0.41654265|0.64683992|0.076244973|1.0|0.31678239|0.40121335|0.49619257|0.88884258|1.0|0.41558331|0.7273286|0.13191701|0.022268131|0.70592344|0.42533422|0.51623625|0.94670659|0.49222678|1.0|0.28671241|0.19633886|0.64119267|0.52086443|0.7680552|0.68575609|0.29794657|0.49019235|0.094317406|0.70928907|0.46573332|0.53348243|0.48269862|0.77512777|0.7103731|1.0|0.0|1.0|0.39386648|0.59775871|0.45873338|0.52495462|0.54772806|0.27300793|0.48488802|0.5491749|0.3944349|0.23158434|0.36614686|0.81855237|0.15955701|0.37453961|0.29166153|0.61513937|0.43593884|1.0|0.43486956|0.92644989|0.25773135|0.14549725|0.15740365|0.45709899|0.63489056|0.47213298|0.052875191|0.65517205|0.65797991|0.31051156|0.12369777|0.51245141|0.44622135|0.48986796|0.55375576
Banano|0.16431522|0.98319924|0.79968476|0.38161296|0.03804053|0.41457105|0.021555696|0.43410856|1.0|0.30114788|0.18658246|0.66477954|0.34701583|0.21603011|0.13755876|0.097506776|0.53246784|0.076435745|0.068729281|0.05198095|0.10364522|0.087600797|0.72469872|0.082953855|0.21783425|0.11649103|0.091540471|0.14943218|0.35442907|0.13797502|0.098941684|0.34521258|0.88176382|0.3188777|0.33896244|0.070836067|0.17306182|0.0|0.10205068|0.42282969|0.48604336|0.41437912|0.15465033|0.72496945|0.11724822|0.077038161|1.0|0.44798321|0.7680316|0.07221669|0.020984471|0.30510306|0.14917547|0.4035269|1.0|0.67346406|0.93986613|0.81923306|0.4873122|0.16448763|0.085378878|0.12782972|0.66812205|0.11392862|0.87141919|0.066230215|0.13507634|0.14122343|0.14720447|0.40317404|0.0|0.81524026|1.0|0.0|0.09840031|0.11214082|0.11944962|0.037283946|0.079238527|0.092180818|0.13392387|0.055221617|0.18843645|0.0|0.7084558|0.34940755|0.19401634|0.028725676|0.22466165|0.28504989|1.0|0.037863888|0.44044763|0.056193873|0.11201645|0.091837011|0.1487034|0.55457866|0.33621949|0.31192374|0.6401664|0.17491528|0.93650794|0.64179605|0.11146596|0.0413449|0.33814716|0.066540867|0.06430918|0.12978831|0.96612358|0.12249632|0.66698384|0.18249489|0.095391944|0.31678239|0.40121335|0.1150184|1.0|0.020559892|0.0|0.024667071|0.072567709|0.073395327|0.57147503|0.086424969|0.11205111|0.10662747|0.12250418|0.39057189|0.28671241|0.10206953|0.72908247|0.01362147|1.0|1.0|0.4724912|1.0|0.094317406|0.33445328|0.18102324|0.049551781|0.095748313|0.44921118|0.74604857|0.032882083|0.0|0.12403383|0.17902018|0.084308863|0.10491349|0.41968393|0.13285251|0.27300793|0.15433146|0.071718447|0.22078496|0.88010913|0.84090745|0.030230969|0.05243092|0.045741063|0.29166153|0.15768665|0.10524598|1.0|0.46465454|0.030733097|0.25773135|0.85430837|0.71021575|0.97178745|1.0|0.1330241|0.10150021|0.17938991|0.071472481|0.0|0.078898199|0.0|0.33572888|0.071568348|0.098241024
