Sector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guam|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Caimán|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Aceites y grasas|0.74232692|0.40072992|0.33298385|0.20016822|0.79199791|0.37905052|0.4394722|0.45614827|0.7741338|0.27136171|0.52041835|0.26456225|0.22925647|0.37785852|0.58886313|0.31649375|0.42262876|0.80980301|0.24902141|0.64502436|0.62044322|0.24886993|0.37881044|0.25657976|0.31716302|0.45365137|0.57111931|0.37483621|0.27948436|0.25127661|0.45449546|0.72923046|0.55140132|0.59790683|0.19306821|0.49022388|0.1902177|0.4398188|0.51901889|0.63129014|0.26201752|0.43359834|0.7406193|0.43456417|0.28513697|0.49508491|0.0|0.57993579|0.41340131|0.56051433|0.52522922|0.57232261|0.57357502|0.23638079|0.67101038|0.27801064|0.32610077|0.58385587|0.27247521|0.44192511|1.0|0.56711876|0.51410979|0.66962659|0.30752182|0.20045802|0.63504553|0.56549037|0.60238564|0.082969084|0.45788717|0.23330972|0.184497|0.56212878|0.46549609|0.53431547|0.64609307|0.42002511|0.87678289|0.42153579|0.26305437|0.79413092|0.26367626|0.58032584|0.38009298|0.77849591|0.42051411|0.14582917|0.34250337|0.32289377|0.53022552|0.49099836|0.26757059|0.5926131|0.35959274|0.88400686|0.48764551|0.33700383|0.27864718|0.63909024|0.36229044|0.45875013|0.0|0.4210003|0.14808227|0.69404733|0.16705762|0.87268436|0.64645851|0.43625212|0.121158|0.33928663|0.61314571|0.58401477|0.85776478|0.2945534|0.16674587|0.40791458|0.40168351|0.5615319|0.94104493|0.93507564|0.27377856|0.52865964|0.63913083|0.37886912|0.72466606|0.56275606|0.90583676|0.30246323|0.62827384|0.168209|0.67088139|0.59674692|0.42661375|0.41639104|0.26534909|0.29439551|0.37303329|0.20665529|0.54599178|0.5417403|0.86675328|0.17614689|0.373869|0.51324153|0.0|0.74149728|0.21734303|0.58811641|0.349222|0.60148072|0.78292859|0.70431149|0.62892568|0.64471006|0.55712938|0.38157585|0.26346967|0.60561341|0.20298326|0.25769621|0.52982676|0.72721487|0.70841998|0.72884452|0.46356249|0.58393931|0.75895876|0.58566773|0.28707561|0.34440005|0.27298269|0.77764058|0.51060355|0.66374958|0.51489425|0.79868442|0.52956438|0.66767389|1.0|0.79756534|0.75690734
Acuícola y pesquero|0.14749818|0.48885953|0.272369|0.46693611|0.096994147|0.54239434|0.56718278|0.14829305|0.2022174|0.19497395|0.090650365|0.37756243|0.24743345|0.25115755|0.17132092|0.14786083|0.19419232|0.2562789|0.47346261|0.12131962|0.75581217|0.33394313|0.48873973|0.24372648|0.17594054|0.20559162|0.34867388|0.68907702|0.13627815|0.44770116|0.33084649|0.3823604|0.30007613|0.05252552|0.25475785|0.53257364|0.35906464|0.15312025|0.099810705|0.47221988|0.35022542|0.46864569|0.76254272|0.66006947|0.25161541|0.86311698|0.0|0.030298926|0.60746574|0.3034476|0.23081881|0.53030443|0.10307949|0.21996829|0.27366009|0.15223005|0.21982667|0.75460702|0.51768452|0.30293691|0.16937697|0.22016191|0.31078038|0.19095525|0.55366445|0.5726403|0.12260093|0.15598246|0.49944389|0.12984531|0.41413319|0.30171633|0.2567732|0.80253822|0.18991485|0.43920171|0.45817316|0.17260465|0.45549792|0.16331251|0.14052168|0.18446028|0.18911779|0.10286956|0.1321326|0.14222103|0.44042689|0.32051995|0.64170301|0.3747856|0.59373367|0.67948151|0.58043468|0.21951872|0.1943039|0.15187231|0.055232219|0.31969932|0.18334222|0.39788461|0.31738451|0.43446487|0.0|0.38517857|0.38359979|0.22009811|0.50766432|0.32252035|0.45022678|0.25088763|0.34233269|0.71411896|0.2063285|0.51194441|0.1365734|0.65723926|0.45423308|0.13716|0.25789496|0.44081488|0.48412198|0.084767267|0.063098244|0.160289|0.20046689|0.1650366|0.24857202|0.16273639|0.0|0.49219063|0.40570819|0.14815393|0.19528086|0.1883985|0.38407674|0.67543292|0.20462099|0.31761095|0.72687018|0.18137279|0.39644352|0.41580123|0.50114709|0.19843563|0.26059076|0.45120162|0.0|0.25324348|0.24114282|0.65645278|0.41652435|0.35915452|0.22900544|0.22992513|0.22839327|0.1514747|0.091160148|0.75036156|0.33496726|0.15066588|0.56920165|0.36926043|0.0|0.19139315|0.55255169|0.76043272|0.43601418|0.23719624|0.18188387|0.098901868|0.091057889|0.28350583|0.5625661|0.17173684|0.082067966|0.10202722|0.39118782|0.11716422|0.31617284|0.29604989|0.2234899|0.55844712|0.2494847
Agroindustrial|1.0|0.80652642|0.5575276|0.66732943|0.6769619|0.52574152|0.98770607|0.79658747|0.56858063|0.39530599|0.73841047|1.0|0.70396793|0.68909335|0.78900754|0.61749172|0.70696181|0.58704764|0.94729596|0.97545373|0.85022241|0.94505435|0.7961846|0.64896786|0.83744657|0.83411372|0.5148139|1.0|0.66867602|0.91893065|0.68499827|0.81021333|0.5012368|1.0|0.88925827|0.69913793|0.56783783|0.83237523|0.77783257|0.60777503|1.0|0.83155239|0.77933908|0.79209471|0.6587981|0.74174452|0.0|0.0|0.70825422|0.75024509|0.96808302|0.48850393|0.88765568|0.42618057|0.84837133|0.67156833|0.78907251|0.7777037|0.47168869|0.70095599|0.74592447|0.91268212|0.79836869|0.72843331|0.64375865|0.72870028|0.68074882|0.87494063|0.70347023|0.81819463|1.0|0.78897351|0.7462343|0.5921033|0.89946926|0.76871943|0.98380554|0.69150817|0.95322883|0.95339775|0.63040125|0.51930201|0.75389832|0.87935716|0.8084448|0.7346307|0.83788264|0.87657142|0.65371269|0.70964026|0.63713872|0.89537889|0.76241463|0.79360795|0.64430952|0.34418797|0.8263334|0.84466112|0.77778327|1.0|0.7736721|0.62679917|0.0|0.54589576|0.79475558|0.90036887|0.63653815|0.84471619|0.83027828|0.83170092|0.75524092|0.97651452|0.72994661|0.9570539|0.65089655|0.98646343|0.80556023|0.84860444|1.0|0.82669032|0.72773051|1.0|0.42148063|0.84091496|0.85267091|0.85613763|0.87936175|0.84710991|0.59672701|0.70179641|0.9039706|0.57158971|0.55639267|0.62631136|0.54699081|0.68953538|0.58091271|0.76035881|0.80083925|0.66159731|0.80474937|0.69582105|0.60998565|0.65023541|0.58717585|0.60675174|0.0|0.76128709|0.58196306|0.85808218|0.97793859|0.50860935|1.0|1.0|0.59852147|0.67313826|0.60474056|0.6625092|0.59895873|0.69505978|0.68336105|0.70591557|0.4440001|0.84826028|0.73322028|0.97483677|1.0|0.86278343|0.6839689|0.56571674|0.7293089|0.53980124|0.61017632|0.55803269|0.82461298|0.71522576|0.94025433|1.0|0.8244164|0.92687476|0.67025352|0.57376558|0.647982
Agroquímicos|0.43545088|0.38760769|0.15818055|0.079924509|0.52112389|0.46213245|0.42724758|0.098923586|0.26564568|0.91752034|0.38493943|0.17870423|0.72188187|0.20470321|0.46107608|0.097916678|0.069069028|0.76082706|0.186689|0.85961056|0.63870895|0.10290401|0.16461527|1.0|0.29991055|0.40516484|0.94675344|0.11781441|0.91082406|0.61185312|0.60416043|0.194841|0.16909036|0.32751015|0.77502143|0.67078674|0.52162391|0.5155915|0.62384605|0.10413945|0.32069498|0.33468783|0.31946775|0.17564163|0.74829179|0.7601335|0.0|0.51887256|0.36209464|0.4041383|0.85155916|0.32342106|0.72703135|0.10646133|0.59966552|0.370877|0.35203797|0.43660516|0.23689228|0.58481193|0.93910682|0.66240168|0.28554004|0.46532333|0.38974005|0.30555427|0.51349366|0.32252347|0.54914057|0.034913521|0.33384985|0.57011604|0.28331572|0.1190943|0.74476409|0.36732566|0.26612076|0.58898717|0.31535617|0.79557514|0.65492296|0.76189917|0.48743564|0.26288804|0.47668588|0.51058722|0.28161305|0.13345809|0.18288273|0.22908381|0.28986287|0.36273542|0.15759444|0.10817401|0.53094739|0.72229064|0.62878573|0.10962623|0.68168038|0.43707752|0.73619545|0.27065095|0.0|0.61075568|0.25930318|0.31415743|0.017939776|0.50958943|0.46376425|0.1001736|0.04669572|0.57763517|0.28347808|0.35085177|0.60622972|0.19809525|0.76533055|0.3820498|0.2201052|0.48979655|0.69477427|0.90277785|0.52700865|0.76029074|0.22385645|0.75937223|0.50071669|0.19884032|0.71808183|0.14485338|0.52824014|0.90551519|0.12806995|0.75872767|0.44187903|0.27201542|0.099004477|0.21370947|0.22633019|0.43034595|0.61305404|0.52510154|0.74898016|0.71089208|0.15031298|0.15911521|0.0|0.38819182|0.65862513|0.064473808|0.23188384|0.064951934|0.40811259|0.30784425|0.56545627|0.7976706|0.6412822|0.31781793|0.18751708|0.5482806|0.71620482|0.23209965|0.7443949|0.56084633|0.37585342|0.6892072|0.28347793|0.30013183|0.63879883|0.69756031|0.21694091|0.46448997|0.88141918|0.62789279|1.0|0.37073123|0.13173601|0.28790155|0.55581021|0.21141881|0.90201604|0.97970557|1.0
Artesanías|0.33259463|0.26938426|0.42756388|0.12833154|0.37269127|0.66418606|0.24271184|0.3810336|0.40876329|0.40875816|0.35160697|0.42687958|0.4465988|0.53989726|0.42319494|0.27704671|0.36274332|0.18474177|0.28726482|0.32221785|0.36465225|0.53220016|0.41150439|0.48636931|0.26708236|0.36621338|0.44989261|0.32931304|0.41894418|0.349493|0.36080527|0.29159889|0.23754185|0.46661949|0.49348021|0.40270388|0.44764528|0.37102419|0.2818141|0.297086|0.44138613|0.31665272|0.27772051|0.45415527|0.37509504|0.25383747|0.0|0.45579126|0.5256269|0.39194629|0.40990761|0.29708654|0.27373198|0.45175201|0.7798481|0.29886389|0.29610103|0.34461313|0.48937732|0.33946687|0.33941674|0.32085365|0.44066477|0.28944454|0.32402012|0.31918824|0.37000519|0.47384414|0.29915214|0.29029533|0.25140753|0.27613074|0.41156662|0.52653748|0.32564059|0.40743464|0.40637463|0.26939866|0.39994031|0.31776786|0.4317255|0.37455899|0.22726639|0.49068472|0.39705166|0.15593268|0.48907751|0.39500391|0.39473552|0.45061696|0.2774674|0.24926424|0.32885033|0.32354334|0.43709999|0.31894132|0.38835812|0.5095107|0.30071259|0.24548489|0.26633266|0.29675356|0.0|0.31546858|0.42631137|0.37287068|0.341288|0.40949458|0.3427614|0.55361938|0.31364179|0.39493194|0.32178134|0.28785983|0.29130033|0.23666447|0.30299228|0.32992953|0.36202759|0.67309189|0.39600939|0.35217947|0.37525702|0.23682201|0.4981243|0.42298681|0.31427494|0.39489484|0.33785921|0.53047723|0.56427115|0.40011495|0.40337127|0.34322882|0.31351298|0.22379225|0.36265934|0.44174391|0.24605925|0.37596452|0.37090477|0.33201122|0.36839259|0.30781269|0.41655642|0.23825914|0.0|0.24112377|0.28540277|0.35743043|0.58054137|0.54671144|0.25495481|0.33250612|0.17324431|0.41846633|0.44268769|0.45886666|0.51296937|0.22939673|0.4352237|0.63304245|0.35718989|0.30254072|0.20549083|0.2657049|0.33912596|0.31568468|0.53937912|0.31497848|0.37319219|0.3291567|0.38179922|0.39254531|0.28155404|0.20298716|0.32365596|0.32204112|0.2523762|0.27974182|0.46472198|0.31125426|0.31890169
Artículos de hogar oficina hoteles e industrial|0.61079389|0.82293808|0.70261979|0.56301039|0.84918654|0.84575444|0.75823361|0.75599968|0.51100892|0.55273175|0.82881868|0.77113855|0.83318555|0.79167241|0.82598543|0.53922981|0.64736831|0.57320035|0.84807944|0.82450366|0.68842876|0.7151981|0.75713098|0.93671739|0.74834108|0.78223372|0.63465464|0.83043933|0.62437606|0.75486171|0.73305297|0.69667149|0.59695309|0.74900281|0.53932822|0.72490644|0.8046276|0.638502|0.81592393|0.38643873|0.90454984|0.71299279|0.68017578|0.67450964|0.85787976|0.68170667|0.0|0.53819603|0.81672406|0.9181869|0.73913598|0.61293012|0.80713844|0.81869304|0.58661497|0.60610723|0.61035013|0.73049939|0.78806126|0.72739691|0.58709115|0.73137581|0.81895745|0.74267447|0.79931498|0.67634624|0.73154956|0.85082698|0.81804162|0.65382814|0.88246071|0.77427018|0.62979513|0.35564262|0.8154549|0.72457695|0.72523528|0.7294786|0.80170798|0.83984125|0.7361117|0.61176318|0.60505569|0.86230803|0.73511004|0.42990953|0.7373212|0.92036438|0.70961046|0.82021827|0.66349369|0.92849433|0.80111706|0.77285731|0.81819665|0.62978572|0.76669586|0.8004775|0.66923243|0.61291534|0.807356|0.63982058|0.0|0.68388879|0.72182846|0.53004098|0.60855877|0.61043978|0.51003206|0.90912247|0.63345456|0.59456766|0.68602866|0.83762038|0.63744676|0.86512351|0.86051381|0.70663106|0.9059006|0.51812792|0.64232719|0.5599671|0.56220162|0.7011373|0.80869603|0.83877552|0.53593016|0.78378379|0.45024166|0.658898|0.45222041|0.78384221|0.69835407|0.7398842|0.57534122|0.75400281|0.63673002|0.80586886|0.64590073|0.69825721|0.8258673|0.76971757|0.67185044|0.69352835|0.78242499|0.53010297|0.0|0.43927526|0.67306012|0.68543804|0.91378111|0.74706376|0.48348713|0.62987828|0.67883611|0.90394807|0.7636283|0.80563176|0.82086277|0.72456747|0.47769725|0.71817493|0.65135407|0.69269419|0.56944084|0.19033238|0.90770918|0.71158683|0.87243402|0.44124448|0.67672336|0.69815952|0.84800923|0.65555644|0.70666683|0.56781566|0.84968698|0.82597888|0.62221181|0.74648166|0.60790801|0.76034224|0.67329854
Autopartes|0.78597075|0.55773097|0.90192372|0.59829605|0.71316946|0.27902889|0.60215223|0.68722683|0.62928259|1.0|0.75139105|0.470824|0.74962854|0.92386246|0.73930502|0.48980969|0.59700108|0.65132451|0.60828251|0.68965399|0.74157858|0.47236347|0.6941061|0.90034616|0.58224171|0.73397958|0.89552665|0.64526367|0.60407066|0.76936388|0.62969965|0.61264211|0.80435097|0.6517064|0.83508301|0.60020298|0.81892574|0.68127882|0.76165903|0.66744435|0.51826119|0.50253415|0.64253688|0.68836534|0.59997296|0.55000412|0.0|0.26856434|0.68837112|0.61279511|0.65115994|0.70444238|0.68440259|0.75232124|0.87218052|1.0|0.75558174|0.95658761|0.85945237|0.68812668|0.62045562|0.55419886|1.0|0.55935878|0.81895459|0.79751295|0.52548718|0.70427996|0.73553705|0.75234354|0.63172448|0.68492651|0.59978455|0.57789844|0.69166958|0.71129048|0.56792164|0.71656978|0.66024435|0.64539641|0.9062984|0.77724826|0.78217518|0.67046243|0.60665488|0.63051724|0.61501813|0.521447|0.26918119|0.59142303|0.7574172|0.70705783|0.59328485|0.64403355|0.90153235|0.74077904|0.58628011|0.68635035|0.63924766|0.575562|0.79003656|0.65572751|0.0|0.74090266|0.61003989|0.83425725|0.28224403|0.63587224|0.80294919|0.57309973|0.58658624|0.77855408|0.97787452|0.62360424|0.80202818|0.44916469|0.64292294|0.73310709|0.650756|0.36138666|0.74518526|0.62251425|0.88179845|0.54511333|0.69768012|0.69363809|0.56816006|0.85985279|0.62965006|0.5794456|0.16366237|0.80247247|0.76355171|0.79632449|0.76184165|0.79699945|0.54445159|0.72571152|0.44852832|0.90484494|0.9742614|0.60416448|0.5298152|0.81614852|0.96008956|0.66008401|0.0|0.61510324|0.43242002|0.63653719|0.59362531|0.66124129|0.46390367|0.64398736|0.61443132|0.9376812|0.65819275|0.89828384|0.70098579|0.79894149|0.76335031|0.65698498|0.77373672|0.59234297|0.6594072|0.41470951|0.36977726|0.61101484|0.77294254|0.80666685|0.57417405|0.66408771|0.74518836|0.68437326|0.78593981|0.82692671|0.69563454|0.72481954|0.74639624|0.73019266|0.49502516|1.0|0.81386769
Avícola|0.49373606|0.5964781|0.31671488|0.38647866|0.5998373|0.79559135|0.69411385|0.5585227|0.18946551|0.092092514|0.5074836|0.53132641|0.042798296|0.27606589|0.37008631|0.74560082|0.6683073|0.35949618|0.41777742|0.21112503|0.81707489|0.66902304|0.17751232|0.32739359|0.12685722|0.30928481|0.08145377|0.28482646|0.35154706|0.20090038|0.22370782|0.47194532|0.33336604|0.8076762|0.23710549|0.25867081|0.063560404|0.42741454|0.24143673|0.30948097|0.36729577|1.0|1.0|0.10748323|0.21463533|0.31385291|0.0|1.0|0.24866533|0.88168514|0.17907938|0.23669934|0.29338789|0.48577604|0.20146134|0.31574112|0.12244374|0.11097218|0.018025517|0.37888959|0.21868587|0.37926173|0.061156981|0.33664927|0.21374202|0.84942228|0.66305661|0.46115458|0.75915372|0.78468829|0.78263158|0.34137946|0.39195797|0.65878201|0.5276497|0.6222707|0.70267498|0.23927599|0.90620947|0.34597969|0.2898055|0.079141855|0.15259406|0.55481613|0.26594761|0.44257051|0.10500526|0.58256185|0.9378705|0.11152881|0.079785295|0.77549362|0.22847363|0.46000862|0.41808188|0.16386566|0.50350779|0.57421923|0.39569342|0.87351382|0.37807783|0.67615628|0.0|0.24259466|0.31635815|0.099331379|0.46210223|0.15143484|0.13602068|0.72488868|0.265064|0.38222498|0.08418715|0.12019514|0.61912435|1.0|0.41517508|0.52430916|0.44680512|1.0|0.53844285|0.26008022|0.48346308|0.44320661|0.037569862|0.045360923|0.32908273|0.49772972|0.19917753|0.74640453|0.85362029|0.23788258|0.28801453|0.35987669|0.082686342|0.15931866|0.46910203|0.1731095|0.84350181|0.34388185|0.57151926|0.38254026|0.2224341|0.29574019|0.20312586|0.81591564|0.0|0.35114077|0.14483617|0.49713618|0.83908129|0.40033707|0.67614192|0.36883217|0.13671219|0.43225735|0.19585136|0.11826681|0.12639393|0.61966521|0.043195821|0.18843925|0.25763366|0.38598433|0.43444437|1.0|0.94716084|0.53194541|0.6979183|0.073310822|0.70827901|0.15329492|0.14920023|0.32887265|0.12249033|0.35688689|0.90652704|0.27536231|0.34089959|0.61695135|0.31340951|0.49749947|0.40172362
Azúcar|0.63051593|0.30454379|0.18888232|0.034964629|0.74713033|0.24349573|0.17201884|0.20576602|0.69620746|0.033734594|0.45404369|0.30424905|0.21141377|0.15428914|0.57363904|0.19368364|0.44049522|0.62120664|0.8057487|0.10830922|0.60663807|0.42003134|0.09204229|0.10599715|0.43408421|0.68604803|0.179506|0.17695603|0.70970094|0.52568519|0.74882573|0.44134367|0.078579485|0.43541956|0.34836638|0.47326207|0.34370381|0.40421534|0.47307596|0.24613088|0.38228863|0.48968494|0.18805841|0.5476861|0.11601113|0.56386268|0.0|0.19498864|0.19204059|0.44430727|0.28463209|0.19095343|0.014593855|0.27174705|0.61199963|0.092293657|0.42372823|0.4560931|0.30069637|0.24408302|0.81070459|0.34687859|0.25258321|0.3532908|0.15157227|0.36888754|0.69653308|0.54584235|0.57615465|0.8000356|0.54856932|0.41527021|0.16975915|0.20349213|0.12532321|0.66552788|0.4241702|0.55653024|0.78368628|0.08603254|0.46507874|0.27101722|0.67875075|0.42549312|0.30061698|0.045976184|0.24410769|0.073956959|0.16691399|0.47111467|0.35147694|0.63821238|0.13922098|0.36092281|0.49376667|0.6008693|0.45823169|0.42970231|0.65145338|0.27803001|0.34874713|0.33626577|0.0|0.13861184|0.13314654|0.65836787|0.19083636|0.85677069|0.76865721|0.32595187|0.2771281|0.43314269|0.69884753|0.32266098|0.97794986|0.51406991|0.11293948|0.64496416|0.20131704|0.50287151|0.14723809|0.3381587|0.048965055|0.10901292|0.29597747|0.44769105|0.79520655|0.48106313|0.41445971|0.26500571|0.91799986|0.091353245|0.15014416|0.42576122|0.15007468|0.39916891|0.17547788|0.20144445|0.56530261|0.21954861|0.7188248|0.12313627|0.83999193|0.33851945|0.13733973|0.42076153|0.0|0.60167474|0.094046108|0.18318652|0.5296213|0.33980089|0.72023034|0.85218656|0.69549978|0.39602208|1.0|0.13020435|0.20104435|0.56275511|0.18884295|0.47224176|0.69095123|0.74234962|0.64584535|0.64737105|0.40959287|0.77785879|0.80808651|0.27597612|0.35581753|0.47835773|0.19816767|0.52373493|0.30192924|0.46303537|0.56240207|0.76902342|0.67930377|0.50251025|0.8238523|0.17630035|0.38133878
Banano|0.38948497|0.41327742|0.25315478|0.052917346|0.024896501|0.044820845|0.47350433|0.26415795|0.42392039|0.60153884|0.31674618|0.33095154|0.071375512|0.12915383|0.29359013|0.17210647|0.26894075|0.0|0.33625033|0.0|0.05347649|0.17466113|0.34556657|0.0|0.4207069|0.29066387|0.098733708|0.30499667|0.40384805|0.2136327|0.096516579|0.11651555|0.51329172|0.16263396|0.0|0.0|0.25446755|0.041438811|0.18585655|0.19012345|0.10563532|0.029499162|0.013352922|0.14978445|0.0|0.018670766|0.0|0.1376764|0.16554344|0.0|0.0|0.10743237|0.40916598|0.17697491|0.0|0.32829195|0.39576352|0.17474805|0.3414889|0.25748101|0.027559076|0.024237022|0.36789989|0.10544958|0.11177529|0.013108996|0.16658658|0.21567512|0.0|0.14577816|0.014733312|0.26018071|0.22729811|0.0|0.0|0.014511456|0.082053304|0.0|0.17110285|0.2587764|0.30556095|0.014290901|0.012873029|0.28624132|0.15622342|0.59448516|0.12581865|0.3658691|0.52724814|0.049933091|0.22161022|0.0|0.29875398|0.18328233|0.18037412|0.037529178|0.37214473|0.29116881|0.16599897|0.1561209|0.28603896|0.077925831|0.0|0.22120517|0.19295362|0.064641662|0.087560154|0.0|0.062059544|0.20980571|0.24760559|0.14343445|0.16942951|0.0201228|0.25043589|0.030767933|0.26641607|0.18322146|0.23268515|0.082039423|0.0|0.048481453|0.0|0.076242432|0.18759695|0.25351894|0.29761517|0.28858036|0.090083741|0.015207751|0.73622113|0.10937664|0.38441494|0.023154948|0.22046828|0.28951395|0.42170224|0.26739356|0.040380802|0.298289|0.023251466|0.0|0.0|0.35700995|0.39004534|0.17653498|0.0|0.32250863|0.49084035|0.0|0.028248744|0.10179624|0.53383237|0.24800466|0.0|0.21604057|0.037471034|0.20713265|0.14372346|0.033123393|0.023638854|0.027461004|0.029899135|0.31445652|0.040954527|0.53849685|0.053849407|0.34082094|0.094773248|0.22364081|0.056145966|0.44906914|0.48236507|0.10040222|0.4221876|0.26952454|0.061699394|0.0|0.026418388|0.014385773|0.17121834|0.094367892|0.014315601
