Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Bielorrusia|Belice|Benín|Bermudas|Bhután|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Caribe Nep|Chad|Chile|China|Chipre|Comoras|Congo|República Democratica del Congo|Corea, República Popular Democrática de|Corea del Sur|Costa Rica|Croacia|Cuba|Curaçao|Costa de Marfil|Dinamarca|Yibuti|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos Minor periferico Islas|Estados Unidos|Estonia|Eswatini|Etiopía|Fiyi|Filipinas|Finlandia|Francia|Gabón|Gambia|Georgia|Ghana|Granada|Grecia|Guatemala|Guinea|Guinea Ecuatorial|Guinea-Bisáu|Guyana|Haití|Honduras|Hong Kong|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Caimanes|Islas Cocos (Keeling)|Islas Cook|Islas Marshall|Islas Salomon|Islas Wallis y Fortuna|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kiribati|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|República de Macedonia|Madagascar|Malasia|Malawi|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia, Estados Federados de|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Namibia|Nauru|Nepal|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palau|Palestina, Estado de|Panamá|Papua Nueva Guinea|Paraguay|Países Bajos|Perú|Polinesia Francesa|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Dominicana|Siria|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|Samoa|San Martin (parte Holandesa)|San Pedro y Miquelón|San Vicente y las Granadinas|Santa Lucia|Santo Tome y Principe|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Timor-Leste|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Zambia|Zimbabue
Abonos|0.5912081|0.52579445|0.18721485|0.6641162|0.57768643|0.4852953|0.50704563|0.35542277|0.51864779|0.32181683|0.52477694|0.1365986|0.34375018|0.45903453|0.58648783|0.29857072|0.27871093|0.57570714|0.21963462|0.51258147|0.46368352|0.34817016|0.3306478|0.95754027|0.26941833|0.59323519|0.28960332|0.26488173|0.60423934|0.482016|0.34788647|0.58143264|0.40325546|0.55535066|0.59568512|0.52926147|0.24456102|0.97842729|0.50571346|0.17375006|0.34783402|0.45482355|0.46797222|0.73142749|0.59490502|0.59707952|0.37344629|0.24014002|0.48617038|0.34657583|0.24999957|0.42022023|0.48160642|0.63083363|0.38311586|0.23796262|0.3388133|0.25360948|0.30262104|0.89592838|0.58359981|0.50084913|0.23159418|0.58895087|0.18784815|0.51814497|0.60381663|0.54845577|0.56975639|0.36574113|0.37026197|0.29173985|0.31884271|0.47260725|0.57908571|0.51444042|0.33798897|0.41877061|0.22074273|0.61224031|0.3666155|0.44305602|0.39005125|0.36264315|0.27755556|0.37835053|0.46471956|0.41145167|0.5876469|0.53996825|0.4346199|0.609532|0.489371|0.35723579|0.97842729|0.77905411|0.97883731|0.44535232|0.85356784|0.39694393|0.33078146|0.32991427|0.39894798|0.4238818|0.43526104|0.52779442|0.656156|0.87056565|0.38949746|0.58336389|1.0|0.46762201|0.45251942|0.51467484|0.49021497|0.55166042|0.4490751|0.416666|0.57460713|0.57635021|0.5201478|0.67847574|0.32944924|0.49401951|0.52296722|0.53431892|0.56988043|0.41663945|0.53607845|0.62028956|0.51311028|0.53424382|0.62796378|0.53012866|0.55953991|0.27209806|0.56569183|0.86121792|0.57106566|0.31971741|0.56738997|0.42593545|0.42075568|0.38165513|0.40952873|0.57270741|0.81536382|0.59871525|0.32824564|0.29603431|0.2892797|0.39830381|0.18326488|0.59664106|0.35674298|0.35867572|0.41530269|0.25195041|0.63622344|0.39621538|0.26072168|0.62865525|0.37697303|0.3845737|0.34410372|0.38826686|0.40269622|0.97842729|0.79508382|0.36210284|0.31729698|0.40273553|0.53450429|0.54360795|0.32429239|0.54750639|0.33779207|0.57030064|0.54343224|0.41975155|0.56451941|0.3868039|0.30653763|0.43806544|0.40387607|0.41667354|0.57098258|0.35236725|0.40753549|0.40047073|0.97842729|0.44638148|0.31536597|0.57369369|0.41278929|0.88122052|0.5497123|0.45059294|0.54141217|0.34512186|0.63620555|0.42836505|0.36137247|0.44571847|0.57313102|0.58914936|0.57686293
Abrigos y similares|0.3472847|0.35665479|0.50477785|0.32118988|0.71918225|0.24834996|0.19635859|0.27480146|0.27747321|0.60868728|0.23673221|0.40234202|0.55406207|0.30349809|0.40321022|0.45409533|0.7212863|0.092974082|0.077683285|0.2480142|0.57052952|0.18058345|0.51123405|0.57870603|0.8095907|0.14906307|0.30195516|0.51233411|0.3183201|0.24401104|0.2025298|0.18933898|0.43291885|0.16364755|0.21772817|0.20255876|0.66176051|0.5304051|0.075598978|0.67247975|0.60697454|0.37374777|0.25496212|0.26775283|0.23192036|0.049830437|0.5641371|0.6662333|0.28418219|0.39286545|0.70126653|0.16904284|0.6732654|0.2976954|0.18827614|0.48288488|0.15560305|0.53621382|0.5985148|0.53796703|0.39262149|0.31925976|0.55754328|0.30915266|0.65237665|0.4251754|0.27668554|0.27342924|0.16974317|0.19992882|0.33579144|0.57213783|0.15372425|0.25031829|0.49250621|0.21129356|0.1856111|0.66786867|0.63267231|0.19929747|0.13788913|0.19398376|0.13270162|0.48157218|0.48527998|0.64488602|0.25091374|0.19492711|0.16873707|0.26089394|0.36004993|0.2553536|0.39099684|0.1535767|0.5304051|0.43307209|0.54809386|0.23418337|0.49505201|0.30739287|0.42580131|0.49361634|0.73473936|0.047002904|0.30513567|0.070355222|0.4882699|0.47948635|0.75335264|0.34291553|0.58751392|0.37737513|0.26727259|0.42387387|0.30772218|0.45408678|0.39109862|0.53143573|0.16951537|0.14854798|0.35913795|0.23067969|0.25456184|0.40942356|0.24868748|0.10522874|0.29328316|0.18425086|0.26815194|0.22732273|0.43160093|0.40663904|0.31783774|0.21301714|0.0|0.5479064|0.25087512|0.59477484|0.34514347|0.38837677|0.29116869|0.34397614|0.26302606|0.1996821|0.21638352|0.18735442|0.50197697|0.28257465|0.50470823|0.20995942|0.45739734|0.6153689|0.45359123|0.204465|0.26222301|0.54763007|0.63002574|0.67999196|0.31953818|0.29368922|0.48583326|0.21509787|0.23264965|0.28657189|0.23812792|0.18021832|0.24152726|0.5304051|0.48969156|0.18752497|0.17724386|0.18147433|0.279576|0.28370321|0.25792295|0.21188147|0.55177629|0.25595081|0.4443647|0.043959402|0.25111657|0.58220583|0.61409056|0.57741213|0.20485216|0.54384142|0.22028677|0.49692702|0.2332201|0.1719602|0.5304051|0.23920734|0.16788122|0.26263157|0.5207715|0.48949188|0.74922866|0.59258598|0.26166999|0.68770742|0.31192592|0.21543396|0.28670716|0.13305414|0.24390438|0.29638013|0.15322027
Acabados para la construcción|0.19846231|0.17287868|0.31208906|0.91200817|0.30426958|1.0|0.91389751|0.090241857|0.25988075|0.64267844|0.32793579|0.90928495|0.5677591|0.12529233|0.27731591|1.0|0.32937485|0.29755637|0.98972845|0.28146002|0.74116582|0.36664334|1.0|0.73937988|0.74310184|0.31039226|0.32829866|0.61506629|0.73580569|0.29312938|0.16819698|0.34213603|0.62393373|0.38723806|0.42370459|0.29786751|0.49917495|0.71864355|0.46465987|0.73450649|0.3755621|0.25848383|0.47414249|0.46761298|0.37675261|0.44492608|0.10728069|0.8402673|0.09108606|0.86662924|0.95619386|0.65673184|0.10779933|0.46166548|1.0|0.76702499|0.15330699|0.79505253|0.36591184|0.703201|0.1830737|0.13966577|0.56616813|0.13287963|0.86840189|0.18474494|0.35797015|0.29541427|0.32629961|0.1787478|0.097833112|0.42243016|0.33905166|0.43217188|0.3994295|0.23565547|0.90506721|0.078718305|0.8437742|0.88600791|0.38622594|0.45594653|0.73992574|0.80860972|0.73440737|0.0424495|0.061156973|0.38239387|0.3300252|0.3724955|0.11899834|0.35109574|0.28061363|1.0|0.71864355|0.79801667|0.7304613|0.51226163|0.757056|0.36576784|0.37558258|0.99067318|0.57267725|0.24045843|0.21581089|0.7662195|0.43255621|0.73596251|0.23844324|0.39529431|0.67889112|0.13254349|0.45005107|0.6080637|0.11747183|0.19906345|0.70307052|0.47967157|0.30014724|0.32860222|0.070391491|0.37687749|0.38395041|0.29489183|0.34035784|0.14314803|0.35358191|0.4261052|1.0|0.38933924|0.32289487|0.29294699|0.47303778|0.26373509|0.33867764|0.84391284|0.31179786|0.9130336|0.045277782|0.76201677|0.70195758|0.1445092|0.69207084|0.38517618|0.25129429|0.1971724|0.88544369|0.45241487|0.93442285|0.35575375|0.89561069|0.47786885|0.63953948|0.92755747|0.17243098|0.49610102|0.65165573|0.47789758|0.49562132|0.1876069|0.763592|0.35152614|0.83306819|0.18271187|0.60142303|0.74622756|0.46771351|0.71864355|0.75927532|0.82712352|1.0|0.45654601|0.25080615|0.21088383|0.36562538|0.38219443|0.62458462|0.38631961|0.20384732|0.18204814|0.3664003|0.1935267|0.60241413|0.8942492|0.61207771|0.67845088|0.25575975|0.45204377|0.48191515|0.40644646|0.71864355|0.45116991|0.84619629|0.39435273|0.6350283|0.76051354|0.26739794|0.12970823|0.24493471|0.93480432|0.43994769|0.4380728|0.62387246|0.60024995|0.34797651|0.30108809|0.32283193
Accesorios|0.56734639|0.28880432|0.4715834|0.51457429|0.37820199|0.54232812|0.63034284|0.51893306|0.46732759|0.59674627|0.49766669|0.68721282|0.19221541|0.57086271|0.5474897|0.43419403|0.34884912|0.46742925|0.54075146|0.47751915|0.64777178|0.48212162|0.30651212|0.93786871|0.77291179|0.35273311|0.85212386|0.60876966|0.54473364|0.3364518|0.55044794|0.54113483|0.15457493|0.48550636|0.52457392|0.43027335|0.48482317|0.78273958|0.57057601|0.66366136|0.57972771|0.3770223|0.56329942|0.6464718|0.54159105|0.2914196|0.24997127|0.76469612|0.34417921|0.82171994|0.71002913|0.58765066|0.36024651|0.54028195|0.48791784|0.84099174|0.55745524|0.81435949|0.45668873|0.78026414|0.46468121|0.3612664|0.41550666|0.4527691|0.28616834|0.38780686|0.47661936|0.46405727|0.51622397|0.30550081|0.33900654|0.34977436|0.46169031|0.59177506|0.57908571|0.4288848|0.50902998|0.34510824|0.73934293|0.55032206|0.49057007|0.52019811|0.590617|0.45800471|0.78467482|0.49004233|0.30126187|0.33552411|0.43765891|0.40939608|0.4346199|0.52608716|0.489371|0.43828654|0.78273958|0.94832438|0.79114151|0.56500936|0.92324972|0.093905419|0.49273646|0.65161204|0.51494384|0.44734704|0.40304276|0.44818789|0.62603813|0.95347142|0.38949746|0.58336389|0.85171914|0.46762201|0.42275038|0.51467484|0.35128471|0.42848954|0.41579202|0.32712024|0.49099037|0.3409901|0.28831986|0.57710779|0.5069164|0.49401951|0.47409987|0.24681506|0.50995874|0.51161116|0.53856707|0.99293792|0.51311028|0.48758486|0.59949684|0.46432498|0.50793833|0.74348819|0.21795395|0.93589693|0.53128904|0.87251484|0.43600523|0.33202955|0.25103652|0.5130704|0.64477468|0.50021672|0.94812918|0.52027565|0.67922854|0.51341337|0.60691321|0.37356454|0.73185539|0.5489645|0.35674298|0.35867572|0.35785437|0.40048724|0.61181217|0.39621538|0.65258723|0.56318694|0.5472523|0.3845737|0.31373426|0.49324462|0.57568508|0.78273958|0.90614152|0.47188044|0.46034369|0.48770612|0.44594872|0.49316317|0.56343222|0.52464575|0.23361897|0.42947245|0.40991113|0.63352919|0.4255752|0.62909961|0.30653763|0.59094107|0.56334764|0.5497787|0.49367326|0.58912587|0.52678043|0.5203293|0.78273958|0.54722667|0.77629495|0.43796161|0.27502006|0.87470627|0.41174096|0.41365761|0.4740206|0.63743353|0.50934041|0.54976255|0.62630963|0.28273615|0.53125179|0.48107374|0.49696028
Accesorios (moda)|0.32351977|0.29368728|0.63904148|0.37768567|0.16922843|0.28249708|0.63296866|0.49290854|0.65854812|0.63607299|0.18835676|0.50131822|0.4271878|0.62126303|0.33888009|0.69736576|0.36765739|0.1094501|0.65269536|0.32309169|0.57807338|0.27573583|0.37758985|0.60632885|0.57464898|0.12830597|0.80913734|0.64708495|0.38728625|0.74225402|0.2631382|0.2766279|0.45810765|0.22649571|0.03723022|0.23009226|0.54575789|0.60340178|0.33136952|0.64613283|0.56607264|0.32268247|0.30459076|0.40816945|0.63336897|0.36856341|0.42848915|0.65834385|0.186113|0.45602402|0.47180426|0.51604658|0.25842771|0.3869133|0.23062263|0.39080471|0.16558743|0.42140138|0.77564591|0.67099035|0.44290155|0.27075586|0.67927122|0.69951886|0.62776083|0.25867707|0.29944104|0.24880266|0.25382397|0.123019|0.37484428|0.50731307|0.23616445|0.30346063|0.42381251|0.2258912|0.2456429|0.59895098|0.39782396|0.29943576|0.22331053|0.25557792|0.47513488|0.45097542|0.51927483|0.61381459|0.23628265|0.58375543|0.26105994|0.30173671|0.5836724|0.70546508|0.34019691|0.65961874|0.60340178|0.52872443|0.61965078|0.32010084|0.54414123|0.52448046|0.68105829|0.56401932|0.67162156|0.1399945|0.25144672|0.26141188|0.066558264|0.56363332|0.58580506|0.29577383|0.55112141|0.66015482|0.37230766|0.36524209|0.24577993|0.39292383|0.57966357|0.51143408|0.32391778|0.35293159|0.224473|0.25058851|0.7437923|0.73810893|0.25908226|0.60898507|0.77324986|0.28121006|0.32819957|0.40651256|0.37033805|0.34919643|0.36273623|0.21806051|0.12251481|0.70526254|0.28148067|0.59807646|0.32128361|0.57438326|0.33529195|0.55665547|0.48980987|0.30256915|0.24891531|0.13974136|0.55656677|0.3214533|0.43465531|0.26516652|0.49387628|0.64810675|0.56220645|0.28190663|0.52085114|0.6532883|0.64646107|0.66089094|0.37194133|0.58018267|0.60578108|0.27450782|0.29858691|0.73600245|0.6235348|0.23452592|0.31311497|0.60340178|0.55604732|0.2559315|0.63251293|0.26212686|0.2626968|0.24780291|0.73175919|0.2522893|0.48334819|0.30729875|0.29380661|0.049536347|0.30006915|0.11537483|0.47029686|0.5301497|0.50019097|0.20490648|0.26567572|0.4843654|0.30318257|0.095591083|0.60340178|0.3310574|0.5064984|0.31450489|0.50583857|0.59660202|0.25509509|0.11101422|0.27123827|0.50254297|0.2928977|0.31356394|0.49256039|0.099695154|0.34079307|0.29166752|0.17969845
Aceite de palma|0.07666491|0.067599639|0.71459079|0.13704079|0.14882506|0.067328475|0.7078374|0.12113769|0.075112827|0.74407542|0.094549432|0.44992092|0.60283989|0.17610008|0.11000529|0.52681553|0.11097783|0.1166184|0.035970051|0.15772456|0.030184861|0.1702103|0.087672755|0.34803486|0.30478191|0.085698381|0.12352867|0.84721512|0.22952121|0.17132673|0.12754327|0.11924702|0.54131961|0.15896113|0.18958732|0.13255179|0.73795974|0.25744903|0.11165346|0.70988142|0.50856829|0.058791682|0.085069984|0.18327284|0.1091034|0.12025653|0.58130378|0.17321002|0.083393313|0.70917642|0.37109637|0.12240599|0.15417916|0.12534957|0.89355183|0.62411916|0.11918139|0.087347597|0.10280707|0.34366435|0.23732719|0.17066991|0.97853553|0.13757771|0.45717955|0.17922331|0.093881145|0.082067952|0.07267651|0.1739208|0.062175013|0.74469936|0.09883479|0.28805566|0.20189923|0.11810461|0.087978683|0.66444451|0.43512478|0.18897626|0.030910496|0.14845711|0.77527416|0.49777579|0.58663142|0.45214963|0.095202163|0.16274095|0.099768333|0.10496518|0.13382061|0.17500265|0.10238437|0.058473468|0.25744903|0.26205409|0.27702478|0.17482096|0.26442537|0.59817541|0.87965965|0.51131558|0.6566571|0.054136604|0.053970657|0.94666952|0.13481477|0.27173984|0.13015318|0.11938953|0.31115797|0.091502242|0.25476286|0.083292976|0.12028662|0.19121605|0.075412646|0.091004476|0.11174135|0.10862191|0.034814551|0.095954776|0.18284693|0.048347928|0.10449274|0.9157517|0.15089105|0.10289696|0.11225101|0.11020724|0.079773083|0.066397943|0.11367344|0.054131866|0.074802637|0.92320126|0.09124583|0.28919658|0.047972318|0.046983503|0.11870511|0.099791922|0.39237809|0.21857125|0.069436401|0.15330298|0.32845637|0.11451358|0.44579911|0.11232856|0.68889749|0.88126278|0.31129128|0.064007141|0.079426371|0.70825136|0.13900384|0.70766068|0.15441871|0.08894299|0.87645292|0.098466896|0.088082433|0.082780778|0.076999858|0.071231611|0.10058804|0.25744903|0.26894453|0.090765648|0.04132561|0.091359571|0.105609|0.053571373|0.13377653|0.086315334|0.086759292|0.081684187|0.096640021|0.081904985|0.12172613|0.77286875|0.23875156|0.015528122|0.06325949|0.090996742|0.10730249|0.084670357|0.090355612|0.19881764|0.25744903|0.081598155|0.45694399|0.090341687|0.18354481|0.28910807|0.066806294|0.70239258|0.11741407|0.95019376|0.11307126|0.089454785|0.79839087|0.1571604|0.089922436|0.15094893|0.096326172
Aceites esenciales y resinoides|0.059936896|0.037150349|0.0091372905|0.084569335|0.10242654|0.048080079|0.070685007|0.071113497|0.0|0.39106163|0.087211944|0.39794677|0.0|0.02429847|0.088659666|0.098688416|0.10173727|0.076045975|0.033334374|0.08224459|0.45889974|0.024455268|0.080078334|0.0|0.64117455|0.093374148|0.10185565|0.3075951|0.13466813|0.013440432|0.062744714|0.046438366|0.2027684|0.052493386|0.067170016|0.025892232|0.10388967|0.18359303|0.078061432|0.52225381|0.48335069|0.031654429|0.033110417|0.1278718|0.095901668|0.075011209|0.038705599|0.30101579|0.015541222|0.0021388931|0.39599824|0.054403659|0.023302307|0.082434259|0.68332577|0.69151872|0.50568402|0.66137612|0.39704293|0.27621004|0.083457068|0.02899131|0.41779119|0.041408718|0.2346482|0.09278585|0.05700653|0.040211793|0.056544296|0.03954915|0.089574412|0.37441352|0.022583453|0.14929388|0.10927664|0.5909853|0.059401061|0.0|0.36785719|0.073847525|0.045242712|0.068779401|0.039266229|0.57064003|0.71197975|0.5327183|0.0021777612|0.18993071|0.21288398|0.071784735|0.020467153|0.047354922|0.077847518|0.01853569|0.18359303|0.21911098|0.20554863|0.07212618|0.21663006|0.014920283|0.3480697|0.58101082|0.58114606|0.71232724|0.033729881|0.0|0.12358145|0.20208861|0.071473584|0.073542923|0.24918804|0.057449147|0.11064626|0.080476932|0.095023826|0.11037511|0.081026465|0.022709923|0.080783978|0.048716184|0.039369415|0.052815288|0.08824791|0.058774848|0.074870206|0.022050707|0.11445165|0.05148397|0.056162953|0.066193849|0.051830996|0.041163411|0.081541359|0.019078352|0.069514841|0.46436608|0.066805445|0.19864276|0.062816285|0.36897957|0.071295545|0.031348325|0.040117204|0.059015051|0.042951718|0.79420114|0.19751152|0.069766238|0.54527646|0.057933159|0.50750965|0.10376546|0.65541506|0.081744373|0.49123877|0.030009018|0.056583546|0.32537594|0.098539449|0.027323604|0.77525008|0.079908133|0.082879119|0.022899108|0.033522807|0.01881149|0.066929139|0.18359303|0.20135352|0.05854293|0.012851739|0.065179601|0.015544353|0.033134501|0.071123257|0.018848494|0.44815999|0.044650462|0.045823216|0.82842678|0.057654895|0.028887833|0.56161773|0.054106601|0.047166526|0.034974016|0.039418917|0.079867192|0.066764556|0.054406833|0.18359303|0.049543854|0.52613437|0.04811528|0.06151437|0.20413308|0.052469365|0.011749635|0.038815416|0.39722717|0.11616354|0.061236903|0.60107869|0.021841923|0.076216072|0.087526083|0.01037864
Aceites minerales y ceras.|0.26363719|0.27156812|0.19219141|0.5210585|0.27771211|0.39015368|0.23238187|0.22263461|0.25745717|0.20475374|0.27178884|0.10478406|0.22974841|0.33881468|0.28441626|0.22647274|0.3415181|0.28886896|0.23766458|0.31397557|0.21481438|0.26062855|0.24774283|0.61560947|0.19104859|0.26904041|0.34434766|0.21291645|0.43581313|0.26994428|0.29940259|0.36089453|0.22468118|0.25891432|0.3749913|0.28320616|0.18209004|0.79101503|0.3877542|0.1644392|0.25282723|0.23641786|0.36939001|0.36167336|0.34798083|0.48644903|0.27705276|0.15533072|0.28974059|0.20189288|0.17309305|0.17656662|0.27825993|0.30732647|0.30033347|0.11765528|0.3894279|0.14458281|0.22766116|0.73412716|0.43494582|0.31699729|0.15566957|0.45886421|0.24043439|0.26544994|0.29438356|0.24163452|0.21745086|0.2816031|0.31692412|0.20011708|0.23853819|0.37764221|0.29750377|0.29496896|0.33061624|0.32036021|0.12322161|0.26703045|0.26861259|0.33845317|0.19635281|0.18978509|0.1558993|0.18590967|0.24845336|0.32061177|0.51318234|0.41427416|0.29275435|0.44267935|0.26077384|0.26743522|0.79101503|0.64369142|0.79817814|0.35070843|0.70516413|0.240481|0.19360021|0.16090474|0.29741827|0.21632808|0.32489508|0.31987011|0.31076193|0.69359547|0.25087947|0.24967599|0.61225557|0.2766538|0.34779653|0.22627091|0.28042263|0.3048991|0.25949278|0.31764188|0.28838009|0.27153271|0.35693207|0.27913544|0.24940717|0.20008415|0.30859816|0.290252|0.3131966|0.33108962|0.43979338|0.31346911|0.21954806|0.23893526|0.48605385|0.24448596|0.32854494|0.13932097|0.3989864|0.67874575|0.2341356|0.16142032|0.44230667|0.32987446|0.20254302|0.36870253|0.26368043|0.39095566|0.6895926|0.34551954|0.4504745|0.28654861|0.17016682|0.21240431|0.13234243|0.26523957|0.21447363|0.21806002|0.1792473|0.17198423|0.49831295|0.28373837|0.11437098|0.33147866|0.30099267|0.27660495|0.2456958|0.29566365|0.30577534|0.79101503|0.64220357|0.2830689|0.23990987|0.3150419|0.18596074|0.31053829|0.24806385|0.2831167|0.20849472|0.43540031|0.19643369|0.31472996|0.42812726|0.29253313|0.21079913|0.31859201|0.33657035|0.22847931|0.23804498|0.29247373|0.31818822|0.30730587|0.79101503|0.3491779|0.20226105|0.44287568|0.33401975|0.72107005|0.26002473|0.2996366|0.34887263|0.19009842|0.44348836|0.34062916|0.15365756|0.25532955|0.26830474|0.26783416|0.30379122
Adhesivos y materias albuminoideas|0.15967256|0.12605724|0.35188138|0.1753653|0.17400417|0.10477115|0.10847539|0.62535518|0.22290224|0.61816734|0.16984585|0.40894198|0.069262557|0.12296328|0.16213694|0.74375325|0.85322356|0.2812722|0.10479477|0.067887016|0.066192567|0.096497059|0.13617133|0.40544096|0.58633566|0.30537307|0.16320193|0.76494908|0.17892441|0.10855038|0.15059389|0.11443768|0.57363749|0.10909228|0.17116027|0.11761083|0.18799865|0.31632364|0.19903196|0.50846517|0.47713122|0.16170208|0.12614079|0.18883112|0.072130062|0.065057591|0.047269836|0.3787387|0.25242433|0.69323885|0.49642843|0.6411562|0.68781233|0.13894361|0.54821217|0.51126361|0.29706067|0.61352855|0.090884604|0.39076823|0.14360142|0.12261147|0.39797288|0.18085706|0.46306223|0.095022805|0.16270766|0.1216206|0.11435103|0.25139749|0.057134397|0.11578844|0.096436791|0.16893749|0.35665584|0.60192353|0.13104537|0.69581872|0.51120383|0.11883256|0.090837896|0.11021569|0.43172243|0.57752866|0.64863932|0.047854379|0.12608369|0.63155985|0.17112318|0.1383246|0.62297946|0.37565231|0.18488804|0.065939859|0.31632364|0.30708447|0.3388204|0.14424843|0.3415339|0.12204587|0.61826771|0.40774208|0.063289121|0.17555137|0.21108685|0.23865479|0.2164914|0.32201815|0.57349724|0.15106618|0.36284158|0.046104047|0.17546952|0.17930496|0.11520867|0.31972378|0.27408332|0.11026967|0.30979159|0.1757203|0.11464712|0.14276537|0.13669682|0.13191371|0.17589036|0.27184892|0.20116723|0.12065274|0.12613747|0.25121537|0.13897865|0.14486255|0.15349415|0.096366361|0.17395049|0.56955504|0.14524376|0.31038016|0.19764192|0.59387249|0.15534228|0.11029921|0.019579493|0.1392381|0.013295053|0.20427448|0.31715611|0.14055446|0.36981916|0.12951842|0.32105029|0.36016256|0.49700865|0.14813384|0.5349564|0.16598666|0.55706787|0.56498361|0.19824728|0.17066966|0.62843359|0.96431476|0.15875116|0.041539315|0.49510083|0.065961257|0.12938352|0.31632364|0.29029247|0.10134088|0.56641066|0.08626622|0.083355889|0.21327198|0.14431386|0.10822634|0.1705697|0.11910903|0.24081977|0.19037215|0.12683143|0.17592488|0.11405864|0.49699581|0.18662018|0.12612239|0.17024599|0.17128202|0.11086486|0.15508026|0.31632364|0.10337131|0.447604|0.1304328|0.61094445|0.32773739|0.2322778|0.079540454|0.12754631|0.58386773|0.22194466|0.11280876|0.67663598|0.18302558|0.15341055|0.19887668|0.13623133
Aeronaves y sus partes|0.42167312|0.20394489|0.56191051|0.42711186|0.48622251|0.31599563|0.26490578|0.28321719|0.32746932|0.37872213|0.23928769|0.080924422|0.57637393|0.22805744|0.28205776|0.30167592|0.37009388|0.51729226|0.11277845|0.27195421|0.1754995|0.226946|0.2120961|0.58495188|0.42833114|0.21410209|0.30813414|0.63246894|0.40425724|0.29668248|0.4130767|0.19873309|0.19146898|0.26592126|0.23750545|0.31467605|0.69000441|0.66449183|0.34156138|0.40376413|0.53135389|0.68192995|0.29223815|0.34809417|0.27107146|0.25237471|0.21001971|0.30715132|0.11110862|0.14217809|0.48674756|0.64943564|0.56144792|0.30972269|0.23301587|0.53181231|0.40393484|0.71794796|0.55745482|0.60583591|0.37323499|0.11309235|0.62454128|0.38176334|0.54045606|0.14719385|0.31756228|0.41296485|0.29812723|0.22611679|0.26974928|0.49927038|0.25765404|0.30054814|0.21921457|0.26257271|0.27185827|0.3228091|0.44005084|0.24724644|0.26382515|0.26275554|0.2484656|0.14769408|0.77752215|0.5784381|0.23858659|0.29518312|0.45126337|0.33845997|0.20563442|0.38726547|0.20866469|0.23463573|0.66449183|0.53604198|0.67737222|0.34537956|0.60497034|0.40845397|0.41348863|0.1526942|0.20647605|0.20422325|0.33431363|0.2516987|0.41417718|0.64653194|0.26060408|0.23000863|0.46464396|0.17011994|0.28758281|0.21871273|0.34409547|0.44349661|0.21531327|0.23061857|0.19761336|0.3503319|0.4047792|0.30436522|0.32097805|0.2874954|0.38710144|0.21937867|0.25403824|0.24007154|0.35058805|0.24877855|0.21365185|0.17081533|0.39150673|0.30224234|0.30207962|0.51381332|0.30023056|0.60469848|0.34276018|0.31231332|0.36834851|0.20186524|0.50098675|0.3992947|0.33123469|0.12474842|0.57318115|0.25783706|0.31632784|0.35102156|0.20949437|0.54738456|0.4936592|0.26038605|0.25494277|0.52879989|0.34929356|0.64865804|0.40498596|0.66917384|0.31128529|0.19542503|0.31061053|0.23273435|0.82886326|0.21887141|0.2168235|0.66449183|0.53313375|0.26816064|0.17235439|0.23564199|0.15167162|0.29593468|0.33784688|0.22376709|0.57305551|0.34814173|0.21373293|0.34624472|0.37850881|0.79350078|0.21598975|0.22325858|0.36369407|0.28105763|0.36838764|0.23966506|0.26092076|0.25907183|0.66449183|0.29970029|0.18735644|0.35792857|0.31735465|0.61980617|0.26986957|0.65812349|1.0|0.59912539|0.25518462|0.34793022|0.36580575|0.27294421|0.19044997|0.24399152|0.37982872
