Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guam|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Caimán|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Abonos|0.12135965|0.11012909|0.24383456|0.0094235297|0.59803331|0.10331649|0.059245862|0.2892819|0.12253918|0.69954336|0.31137645|0.08146368|0.57700193|0.18886942|0.29201978|0.041295562|0.19180581|0.47260204|0.15803054|0.29623908|0.14347064|0.061169714|0.0|0.49179608|0.30149961|0.053882293|0.94295764|0.11303057|0.48644894|0.30201003|0.24864233|0.031964339|0.64873928|0.26724678|0.26712611|0.27793497|0.090689011|0.11002126|0.35638657|0.717619|0.16120061|0.073273212|0.64458084|0.53787178|0.66745657|0.39787251|0.0|0.42283398|0.093673199|0.47384757|0.83488548|0.35652786|0.27857578|0.20272088|0.20189776|0.24921134|0.24736813|0.31499329|0.62997657|0.19520564|0.37368822|0.58714318|0.19334541|0.075675815|0.28945085|0.4550575|0.0034654653|0.35337824|0.19851233|0.050194193|0.041258361|0.42431006|0.10170615|0.14786778|0.687989|0.086734802|0.055543013|0.31631744|0.028860535|0.75781125|0.44328225|0.73604447|0.82238817|0.068586804|0.27692944|0.63783228|0.07621403|0.078250647|0.04388129|0.22114676|0.32643145|0.04228669|0.45181227|0.11592053|0.24359429|0.52833188|0.27728319|0.3652741|0.26826963|0.061566759|0.51282561|0.24860613|0.0|0.49637705|0.15062147|0.44293636|0.032830872|0.33423078|0.90601385|0.047129728|0.014600363|0.32907715|0.77088499|0.40480453|0.20168388|0.071785852|0.20275497|0.11331115|0.15656304|0.10867366|0.61227143|0.50892121|0.4838694|0.590047|0.0029823852|0.73963124|0.14374325|0.5045774|0.79309309|0.080036364|0.21170008|0.85816336|0.23292984|0.68537569|0.62572217|0.38933361|0.34065714|0.36313683|0.23804674|0.28459153|0.32187068|0.45426136|0.31258816|0.18030764|0.061061308|0.044779785|0.0|0.69947106|0.57793361|0.14903904|0.27683753|0.20806965|0.18041971|0.043433189|0.68494916|0.81596905|0.22495055|0.19931607|0.24077642|0.29195139|0.76863825|0.44485062|0.52470183|0.32849652|0.15309617|0.37842348|0.16644877|0.18586625|0.15485378|0.51425004|0.10641381|0.55252314|0.62726486|0.47768104|0.8376556|0.2618899|0.14116886|0.14425975|0.73980772|0.17521849|0.34581259|0.75276756|0.86117589
Abrigos y similares|0.47626734|0.49729884|0.80668956|0.66271251|0.36956492|0.042936843|0.15187901|0.33469656|0.58421856|0.43229264|0.6148982|0.44168556|0.49360317|0.81466222|0.53666127|0.15971771|0.33245522|0.042496949|0.21783447|0.3985067|0.22421581|0.65747797|0.52469349|0.29264098|0.43602729|0.28543192|0.49357423|0.16599749|0.42388028|0.24548505|0.31783605|0.3137992|0.46320388|0.13252607|0.15391874|0.22260314|0.51949805|0.25670809|0.47843105|0.44239104|0.57633054|0.45127651|0.14519349|0.83155102|0.35300502|0.10952538|0.0|0.49275196|0.73191857|0.12544638|0.4815053|0.14639184|0.23315498|0.51311195|0.37239373|0.58462238|0.57046402|0.64374483|0.54890245|0.63664651|0.34775177|0.18263504|0.50629401|0.18546371|0.67537832|0.22961006|0.31906164|0.65470374|0.16120139|0.50384092|0.16845202|0.64571446|0.65338051|0.58968884|0.27986109|0.26561132|0.25140017|0.24327928|0.20768684|0.35071179|0.49973321|0.38173744|0.21846522|0.34812355|0.6774857|0.050397549|0.67298222|0.24587676|0.19679272|0.49578166|0.73857343|0.08977662|0.63074052|0.33521295|0.59851015|0.31305361|0.60361069|0.78696072|0.22085598|0.44531322|0.64496005|0.22991869|0.0|0.60387719|0.59295559|0.45126951|0.74273449|0.12941468|0.21333446|0.15428895|0.54632819|0.16514997|0.31603789|0.22456709|0.29868674|0.30149743|0.42902738|0.4858506|0.494629|0.43116522|0.30986646|0.19376868|0.47506309|0.19784956|0.57316768|0.49278843|0.21222213|0.20305648|0.23118666|0.20849749|0.28125376|0.41160023|0.73741102|0.52937531|0.74603796|0.46691212|0.8034476|0.62584114|0.30140656|0.66316509|0.27515787|0.20192608|0.25318566|0.46122539|0.72719431|0.078636929|0.0|0.19355461|0.54020208|0.17005166|0.16679642|0.4258118|0.091496907|0.53135645|0.13535824|0.50945008|0.34001744|0.77383679|0.8363651|0.21827352|0.21606272|0.64453948|0.28755236|0.43866396|0.18336645|0.14901908|0.19651085|0.23190793|0.39098093|0.42436385|0.30960473|0.29461646|0.55539238|0.24345478|0.47004691|0.32023656|0.36978847|0.45882469|0.15163076|0.27452275|0.63822675|0.31729192|0.28523067
Acabados para la construcción|0.69029129|0.88271838|0.71898997|0.79380876|0.69701779|1.0|0.82765555|0.6541425|0.59156096|0.5616194|0.66927338|0.81692421|0.7858932|0.8793717|0.84692377|0.77221906|0.71460867|0.70014656|0.85015655|0.82018077|0.89463699|0.70948648|0.67877769|0.66623807|0.71206975|0.77826631|0.40255558|0.68157709|0.6288048|0.81640184|0.79726839|0.76367807|0.60372835|0.8514142|0.76290846|0.73801661|0.63347977|0.68751115|0.7662307|0.22892812|0.93261689|0.83492482|0.715873|0.56976938|0.80125773|0.79776084|0.0|0.51037937|0.91866821|0.99529827|0.69724667|0.45973033|0.7762168|0.60041678|0.65422094|0.66554141|0.73973352|0.45435095|0.74048162|0.71214426|0.67057192|0.81732273|0.8591103|0.69331318|0.88261878|0.6598289|0.66838121|0.93054646|0.84143305|0.68712497|0.83725357|0.54092038|0.83664608|0.82145|0.75730968|0.66497529|0.66924852|0.74774033|0.67942071|0.66879827|0.70438015|0.62302125|0.63380367|0.85129738|0.78420329|0.40985388|0.86558533|1.0|1.0|0.87516999|0.64099014|0.91883087|0.80399376|0.70460939|0.84861875|0.81818724|0.72140813|0.70194173|0.69287157|0.81952929|0.68944311|0.74282008|0.0|0.75881255|0.90140259|0.75228989|0.5384587|0.77589107|0.53686696|0.92089844|0.82040226|0.6636008|0.77994698|0.89542466|0.81972659|0.66435456|0.90569103|0.82387412|0.87685257|0.79332054|0.83422506|0.66960716|0.48781011|0.64210433|0.74371409|0.82072693|0.63405651|0.69553065|0.5136562|0.93574858|0.51961708|0.76545638|0.84569252|0.75890815|0.55608261|0.54620183|0.78053999|0.85075432|0.64528668|0.69838059|0.85137999|0.8748095|0.68167651|0.71088123|0.68981451|0.75148308|0.0|0.85266304|0.79501951|0.78839362|0.86640072|0.77122498|0.77377254|0.72270989|0.55497551|0.5547623|0.5765456|0.90227377|0.91146219|0.67753839|0.56497508|0.68148792|0.73065233|0.87924427|0.85168564|0.1455624|0.83042508|1.0|0.73733222|0.2530137|0.62968636|0.5706805|0.66645241|0.72236711|0.82919383|0.72782576|0.86781538|0.61396152|0.32089606|0.68917722|0.78950131|0.69379795|0.76203442
Accesorios|0.46175781|0.81887925|0.71165788|0.70961779|0.62933666|0.85438406|0.67065144|0.71160603|0.6229772|0.67218781|0.71624243|0.68915486|0.76183558|0.71045053|0.74570906|0.68303096|0.63949639|0.57497835|0.72667933|0.74437761|0.70093644|0.90861678|0.86823916|0.75052667|0.85072249|0.59422708|0.7022773|0.71244931|0.8600288|0.64688492|0.63482422|0.58612418|0.60112578|0.73849905|0.60591054|0.61952257|0.78324437|0.52732372|0.60200864|0.46537936|0.84324265|0.50497675|0.57940876|0.68172228|0.74883699|0.59840155|0.0|0.47930411|0.86801505|0.67948335|0.71009636|0.71083635|0.67714167|0.63267612|0.43944162|0.69730902|0.71044087|0.71886045|0.79285645|0.78266835|0.68507028|0.60971683|0.81076038|0.55541909|0.77803129|0.76812506|0.63099182|0.77180642|0.69060868|0.44647887|0.62857509|0.70279109|0.51219672|0.65642548|0.69713897|0.64373964|0.59714901|0.64149415|0.46265262|0.69307148|0.70679629|0.68406689|0.5849539|0.70353866|0.70152754|0.55971432|0.78334904|0.72005403|0.57277286|0.81831419|0.67587614|0.64147091|0.63915825|0.71185017|0.78098142|0.55922425|0.85638249|0.72701985|0.5210728|0.59803498|0.7700339|0.57714748|0.0|0.86982095|0.71048248|0.66492772|0.60210323|0.58041817|0.48304904|0.79319632|0.73185813|0.5486002|0.6915096|0.64271683|0.58291602|0.4979654|0.79979849|0.60166055|0.77974999|0.54688585|0.66411626|0.54166514|0.69395733|0.55744535|0.73370039|0.78092217|0.48399147|0.58750576|0.5721457|0.78689981|0.61946851|0.65670276|0.71835023|0.65675843|0.8323428|0.77586496|0.7051326|0.79869556|0.5525986|0.81460381|0.63023359|0.68069124|0.73339236|0.78800333|0.77120543|0.63467455|0.0|0.48438168|0.7335611|0.53643239|0.67137754|0.70947176|0.68326908|0.57116675|0.66164386|0.66796166|0.5969975|0.81994319|0.79647988|0.63982433|0.63520187|0.48471981|0.61650848|0.69277787|0.63259804|0.3075783|0.55733562|0.6535269|0.6972028|0.44862375|0.36664328|0.76010346|0.75389791|0.60561049|0.7217204|0.65317285|0.63502741|0.64323485|0.65101933|0.59644026|0.74444383|0.57621044|0.64006937
Accesorios (moda)|0.51896995|0.63287181|0.59667671|0.46330565|0.43173939|0.31402701|0.40259773|0.55526412|0.41248643|0.38130087|0.38091946|0.72491479|0.51827741|0.65316558|0.40716836|0.31428209|0.36707538|0.32747748|0.37706679|0.56897312|0.4580887|0.56607759|0.58492482|0.46097022|0.46630326|0.61387253|0.50727487|0.7345742|0.39663541|0.44048262|0.47728509|0.60371464|0.53652549|0.30616033|0.33900219|0.49405903|0.54573452|0.58892143|0.50114572|0.34898567|0.46087801|0.62676626|0.35203207|0.63253593|0.50315148|0.33423173|0.0|0.58482993|0.57545865|0.32482684|0.44742489|0.19350651|0.32750124|0.4963333|0.39334202|0.41514421|0.44581521|0.38873172|0.62171119|0.54576951|0.49201396|0.3404547|0.63338768|0.45729992|0.52859771|0.45761544|0.34963685|0.44875836|0.50136709|0.52599376|0.3898614|0.49018013|0.57498276|0.68448371|0.50068551|0.41711092|0.4681502|0.42806232|0.44372922|0.47365123|0.51628494|0.38713145|0.3749426|0.45473108|0.55865765|0.11476023|0.59284729|0.55048919|0.46489397|0.40728348|0.47098857|0.41003013|0.58388072|0.41541737|0.57604289|0.40980744|0.51738822|0.6125288|0.32026786|0.55311435|0.55427527|0.38756666|0.0|0.49140847|0.43285114|0.3662332|0.72013557|0.75112605|0.2640959|0.60593307|0.62473702|0.4608478|0.35521066|0.52354443|0.44719511|0.50299859|0.42156774|0.37989071|0.37825972|0.44105914|0.43857977|0.35610718|0.50746238|0.31821102|0.49859354|0.45407486|0.42231989|0.45892429|0.36086529|0.32887435|0.41445044|0.47837067|0.50120729|0.44348979|0.51027948|0.35521805|0.38977939|0.48812366|0.59271061|0.53848076|0.48967874|0.40423858|0.56029773|0.45406783|0.50159872|0.35202688|0.0|0.37703386|0.34808421|0.41901445|0.53354585|0.52311194|0.17519544|0.50786233|0.43578875|0.49905676|0.53187943|0.6439606|0.66686606|0.43604475|0.53945649|0.40653571|0.45802516|0.38338101|0.59668016|0.30098897|0.51480484|0.43892711|0.36349452|0.25553137|0.32713932|0.47547716|0.39404422|0.51582843|0.42073166|0.21634176|0.42499632|0.58193707|0.22409692|0.58870918|0.51499873|0.4339416|0.37713301
Aceite de palma|0.92768425|0.18097413|0.3847937|0.15231784|0.85566998|0.10331649|0.28733343|0.72930133|0.67887503|0.49918538|0.27104759|0.11118244|0.14356604|0.32334512|0.61429763|0.11741929|0.49426258|0.78589892|0.30168629|0.130973|0.84885192|0.045345508|0.35832602|0.33410323|0.25474411|0.14133939|0.62343073|0.52037728|0.2508589|0.59760344|0.6615262|0.17686844|0.56245041|0.23107988|0.29609644|0.69322443|0.3098425|0.66407216|0.40862215|0.70711911|0.17908278|0.45655507|0.89753163|0.60096908|0.15560567|0.75304866|0.0|0.26451337|0.46814752|0.66131562|0.34350246|0.82205045|0.76207298|0.53273386|0.64290953|0.25713071|0.22799474|0.69431794|0.33361575|0.61823392|0.93467832|0.71421373|0.11810173|0.55000567|0.27965257|0.56445336|0.55241334|0.1955671|0.76525784|0.07853812|0.35299122|0.55095738|0.27895126|0.14786778|0.3824898|0.7344451|0.58448869|0.44502127|0.82437903|0.58892596|0.26596552|0.89141011|0.1068108|0.54497123|0.47663057|0.76875401|0.16703123|0.037361991|0.0|0.21274781|0.72626877|0.54949069|0.43265545|0.6169076|0.50101924|1.0|0.331808|0.3738535|0.26567024|0.4786315|0.097513407|0.65779614|0.0|0.29954034|0.061437696|0.6283378|0.19310015|0.85653722|0.61529696|0.13804495|0.16573294|0.43191534|0.49294958|0.21974751|0.78871351|0.65943867|0.17108452|0.39816779|0.17151961|0.10867366|0.91537243|0.9597441|0.44624066|0.72434539|0.12284429|0.23388708|0.83724511|0.71112084|1.0|0.4953723|0.42352355|0.22519881|0.8329407|0.25476515|0.44571665|0.16378328|0.39712292|0.54080802|0.46354169|0.25969508|0.52406627|0.69481987|0.958121|0.3106463|0.63415796|0.1915468|0.0|0.83202374|0.45309663|0.42988306|0.50852096|0.40657362|0.7512753|0.8020401|0.50999302|0.76081562|0.73922217|0.52972227|0.1869033|0.49102598|0.0|0.43102509|0.7900672|0.067272231|0.88493216|0.47211388|0.70749211|0.63368106|0.30718899|0.66083807|0.380568|0.57355261|0.59748888|0.97737849|0.60694683|0.36181217|0.78500485|0.56486607|0.61379272|0.75441164|1.0|0.9024117|0.71398926
Aceites esenciales y resinoides|0.55565691|0.41216105|0.25987059|0.65946496|0.60505772|0.30041888|0.35005522|0.5419991|0.73635978|0.58611542|0.37714699|0.56465662|0.42649004|0.54938644|0.53164518|0.38185066|0.48149991|0.57795638|0.57511067|0.34180474|0.51674902|0.44729388|0.54889762|0.55945849|0.45907885|0.55768204|0.54789841|0.19815427|0.44330734|0.39074653|0.49873847|0.5251857|0.48348597|0.46784562|0.48578817|0.5696854|0.53643584|0.76472157|0.50933647|0.41539276|0.60280955|0.250579|0.70214862|0.50637436|0.63655299|0.58474994|0.0|0.45437187|0.38144019|0.19693363|0.65897763|0.41864336|0.62292576|0.73844236|0.68298066|0.29728755|0.36703306|0.60728443|0.49137694|0.32494196|0.54132259|0.76593965|0.49218982|0.42296773|0.68051839|0.68212008|0.4376902|0.66416842|0.62749314|0.20663597|0.47207466|0.65267849|0.1561885|0.2372649|0.78937083|0.52093458|0.40631986|0.5984385|0.53140926|0.71155155|0.5387156|0.60814792|0.6893267|0.53380692|0.79473078|0.72087038|0.32405835|0.30567718|0.25429863|0.56069708|0.45143628|0.46066797|0.36220306|0.66039336|0.62536788|0.71723759|0.55393231|0.46439791|0.50337946|0.40588531|0.3057878|0.57481861|0.0|0.55372989|0.30628037|0.63651323|0.22312155|0.42140248|0.5983994|0.38391483|0.48129052|0.6252352|0.47776777|0.39263743|0.38529354|0.19547473|0.29321533|0.40647221|0.13283066|0.26548272|0.66959411|0.64764166|0.76361084|0.37449539|0.43157282|0.47053361|0.23575373|0.60058665|0.75239879|0.082587875|0.66225547|0.63352048|0.34942013|0.6337716|0.52709699|0.39177629|0.21186298|0.60224175|0.41285861|0.48903012|0.63770044|0.70076978|0.58984601|0.62786555|0.6558184|0.59513116|0.0|0.54757768|0.64787561|0.44158572|0.64942205|0.54793793|0.59251553|0.46220589|0.58526993|0.80624485|0.62459373|0.48750663|0.39997831|0.49333045|0.73655534|0.50742102|0.75013745|0.52573723|0.54682654|0.24173015|0.27769777|0.62328744|0.44807446|0.66573775|0.31992716|0.63854504|0.57811201|0.76749134|0.57119256|0.67539364|0.47614777|0.46366012|0.66074592|0.48338258|0.40549773|0.79317105|0.68693841
Aceites minerales y ceras.|0.023000954|0.071684964|0.11234852|0.033079937|0.069174394|0.10331649|0.02079205|0.25490692|0.11634563|0.16539359|0.075187773|0.013216843|0.0780036|0.032033846|0.40286076|0.017251529|0.055518195|0.15007851|0.077180699|0.062723078|0.21233875|0.0|0.14598711|0.13194805|0.043048393|0.015486144|0.18078654|0.26896805|0.043701991|0.022301648|0.032020494|0.094090112|0.053467199|0.018983025|0.032169186|0.4905498|0.051057663|0.033569001|0.061057009|0.52069312|0.064625449|0.0|0.065927319|0.34728587|0.085652322|0.058257803|0.0|0.15981722|0.079585537|0.11525249|0.09192986|0.061544273|0.06820748|0.25690496|0.053515859|0.080986515|0.11871697|0.074368604|0.14526418|0.043897875|0.1253597|0.35805261|0.099700212|0.060819827|0.079965323|0.11411616|0.095958769|0.05324614|0.15636124|0.050194193|0.16072983|0.036150701|0.080321744|0.14786778|0.040598117|0.04559274|0.12723765|0.32379827|0.077436313|0.076592147|0.046838723|0.21942274|0.12454017|0.054392695|0.2149504|0.28495276|0.062354255|0.092902347|0.16835925|0.072544485|0.04928381|0.08416716|0.60010362|0.0|0.060512669|0.097144723|0.016673068|0.0|0.19535661|0.02398061|0.029433776|0.040894553|0.0|0.029665513|0.043134131|0.036979064|0.032830872|0.043904372|0.47280756|0.0|0.04937195|0.08065889|0.042475872|0.069995046|0.038592048|0.071785852|0.049478605|0.019172242|0.089959979|0.10867366|0.088542104|0.065518692|0.11747372|0.072984271|0.16742073|0.065362014|0.047039505|0.085867457|0.15030986|0.0497039|0.22762033|0.15868807|0.053843372|0.097754732|0.067677304|0.045532636|0.05795341|0.077676319|0.052114442|0.068549164|0.04431507|0.054347932|0.11025071|0.10027856|0.26401365|0.065529436|0.0|0.012934525|0.031778891|0.16757724|0.028588116|0.089760512|0.066445179|0.041081298|0.071640834|0.11069201|0.074538834|0.09228009|0.10602328|0.063613683|0.49738577|0.31065485|0.054809302|0.42896408|0.085698783|0.37842348|0.054958545|0.72441316|0.56649339|0.22684813|0.10641381|0.10435373|0.097007215|0.09673135|0.069059603|0.055736039|0.10001916|0.33943093|0.24167153|0.038992051|0.016683724|0.021793231|0.10767522
Adhesivos y materias albuminoideas|0.45944202|0.50193149|0.62032884|0.27533048|0.67250526|0.61007905|0.41397649|0.44318211|0.65796024|0.78533262|0.54766941|0.37237805|0.49737465|0.61250919|0.4597131|0.27371228|0.47599798|0.62357092|0.47316456|0.3887251|0.59747684|0.4056218|0.68522221|0.57184422|0.63563764|0.47031438|0.74016833|0.29838663|0.51754963|0.55839825|0.60478139|0.4243291|0.37888932|0.52194619|0.66795206|0.5265305|0.63667524|0.47261474|0.63109922|0.72366941|0.4702476|0.36742008|0.62460732|0.79672343|0.72642684|0.445032|0.0|0.5196659|0.61768359|0.52930939|0.72663748|0.70028901|0.65191466|0.58526731|0.39039347|0.5749042|0.67143965|0.68523377|0.4744162|0.65996063|0.6212815|0.83910179|0.64726496|0.68720841|0.46668273|0.6651901|0.64169979|0.51873356|0.52979219|0.55781364|0.56637508|0.67788124|0.22467817|0.5342294|0.63823926|0.48549664|0.44345441|0.46717915|0.52252764|0.55201763|0.69783884|0.71645719|0.70575094|0.48246408|0.62052643|0.65748286|0.45897573|0.2588405|0.23375973|0.58245456|0.5081116|0.41309464|0.71079832|0.50427449|0.48822582|0.64600408|0.51515102|0.43457782|0.63579601|0.35194308|0.57239294|0.42409128|0.0|0.5944562|0.75661743|0.82023835|0.30860779|0.57038009|0.78604835|0.39078873|0.56088877|0.55871052|0.64817899|0.4784281|0.61052024|0.25726646|0.54956758|0.63732529|0.46787399|0.39227355|0.49322417|0.60555422|0.68179983|0.60363472|0.37715799|0.56079996|0.47333866|0.46742648|0.72260964|0.33147779|0.50308663|0.66609508|0.69602728|0.66834295|0.73725641|0.53286499|0.34878051|0.61280227|0.39499357|0.70088923|0.55031961|0.50596225|0.58732522|0.59989929|0.70045006|0.4108665|0.0|0.54285342|0.65007424|0.42689872|0.38093087|0.77756369|0.48606244|0.48183593|0.69711494|0.79874671|0.43127692|0.60418046|0.5245747|0.47080237|0.62230277|0.72145772|0.55211765|0.48878619|0.58477306|0.79185849|0.43811542|0.40416923|0.47588539|0.72399068|0.33414906|0.79359788|0.63507903|0.59637254|0.6633485|0.63509113|0.46157134|0.52173901|0.77098954|0.46023947|0.45643952|0.6784178|0.58016455
Aeronaves y sus partes|0.83823693|0.33455819|0.4164125|0.17308339|0.6892122|0.0|0.59300911|0.80023372|0.47249216|0.42592418|0.4446246|0.090850778|0.50030166|0.22619559|0.33948326|0.50641739|0.77885479|0.59132761|0.11464461|0.35197848|0.107085|0.07057412|0.22839066|0.45737746|0.41189817|0.47285569|0.75450706|0.65385681|0.4150517|0.42776334|0.30755532|0.70156866|0.52164721|0.21147588|0.2305322|0.23570205|0.45750979|0.4189027|0.43876922|0.56551659|0.81846786|0.18842712|0.46914375|0.6288445|0.17926554|0.63136613|0.0|0.085718878|0.44863802|0.28994146|0.35248867|0.68553782|0.27501926|0.70422244|0.47953129|0.18018711|0.49794054|0.33015254|0.65436971|0.39622134|0.62895817|0.64192843|0.38001129|1.0|0.38548952|0.51109159|0.2176467|0.26214674|0.65920436|0.28333536|0.22051588|0.31436849|0.53540248|0.42177755|0.19613329|0.23552296|0.11367249|0.52310157|0.046700407|0.17560951|0.32989758|0.61802149|0.40236157|0.31167415|0.97148502|0.47625703|0.81328827|0.36448285|0.10226797|0.62996817|0.59624994|0.63876992|0.63376153|0.54697895|0.76009595|0.71405804|0.14638579|0.054714151|0.37449461|0.12660544|0.89331543|0.090214044|0.0|0.44384241|0.89577764|0.71197438|0.40037367|0.30659723|0.60193264|0.89836335|1.0|0.45125905|0.77685845|0.14742376|0.35954082|0.38468277|0.18322048|0.59139562|0.59326941|0.50692821|0.39571738|0.45085058|0.18227482|0.15967897|0.57736224|0.64338386|0.87456095|0.43795103|0.56380731|0.21088892|0.18810463|0.46253419|0.31241238|0.38930577|0.40122181|0.54209638|0.8320058|0.51125193|0.81956798|0.23592648|0.53883767|0.19783171|0.52804041|0.16290551|0.32764494|0.016547596|0.0|0.1384149|0.56303668|0.70304215|0.15986031|0.92665243|0.30557925|0.54569399|0.39092869|0.52693325|0.3086147|0.43754968|0.56032372|0.30588308|0.4877952|0.58432961|0.47569531|0.56480742|0.38757622|0.63498056|0.43536091|0.7645756|0.87666917|0.6320225|0.41580409|0.23506814|0.48507202|0.59978968|0.24879041|0.54373002|0.504668|0.42126277|0.41409117|0.2460445|0.61418992|0.37688965|0.59986442
