Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación hospitalaria|Envases/Empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Vehículos y otros medios de transporte
Afganistán|0.27564073|0.18441862|0.16080356|0.16909188|0.24640787|0.15357128|0.65983582|0.268224|0.21863458|0.18003143|0.20914672|0.28919241|0.11167127|0.137036|0.30685571|0.057964891|0.24008489|0.26912346|0.14179033|0.31204206|0.15602857|0.2092534|0.20745806|0.11647619|0.56068838|0.16213912|0.11403087|0.24022895|0.26952618|0.17835566|0.59921134|0.10632935|0.16219178|0.13384598|0.19685006|0.24108182|0.25824064|0.20898095|0.13599008|0.32954425|0.10673326|0.38623601|0.10172337
Albania|0.42999947|0.37964526|0.26006967|0.46827471|0.37816817|0.31492051|0.3106848|0.47445148|0.623555|0.71694207|0.40998235|0.42531556|0.16345939|0.57220089|0.37500858|0.42928475|0.71774602|0.60029036|0.66434616|0.49426138|0.29843163|0.52433932|0.34031981|0.35720909|0.23517258|0.35591042|0.26994151|0.38745812|0.45695424|0.31821671|0.31559923|0.24967243|0.31473958|0.46217102|0.34266046|0.40029791|0.53614473|0.4349193|0.55543697|0.47600555|0.29639217|0.33143297|0.41380888
Alemania|0.76958734|0.70468557|0.52549058|0.48209834|0.75251698|0.6236124|0.56822604|0.17679922|0.8047244|0.88807827|0.69891596|0.25521597|0.72882098|0.8481766|0.6560967|0.65831882|0.67095256|0.39120805|0.64330131|0.37536705|0.7022661|0.53549087|0.77450156|0.47408637|0.54394513|0.80548859|0.51471514|0.63108277|0.20263916|0.53438413|0.5433743|0.59191203|0.6016832|0.64341563|0.62605798|0.76791745|0.9822551|0.65029544|0.52672058|0.46518868|0.56491262|0.62647331|0.59352052
Andorra|0.5028199|0.45196337|0.34690654|0.4365589|0.46212548|0.42613664|0.41712779|0.57218254|0.41482252|0.44839185|0.49322304|0.50351053|0.36980546|0.36057925|0.53294349|0.47158289|0.486646|0.69496059|0.41701233|0.58303165|0.38217378|0.46583217|0.65520889|0.42391783|0.31764358|0.44329089|0.32104683|0.50651658|0.56426096|0.46146667|0.68449122|0.33484131|0.42174149|0.44712439|0.48827505|0.50524306|0.61791456|0.45077869|0.38613683|0.58066607|0.37813807|0.3905921|0.3837086
Angola|0.37637788|0.25059262|0.71431458|0.28803119|0.25688493|0.55131072|0.6135869|0.37666669|0.58252674|0.24293989|0.22330338|0.73403287|0.41879365|0.03655158|0.83561826|0.025247497|0.38784599|0.46751231|0.23957306|0.2344754|0.19871618|0.32308328|0.58879447|0.29802421|0.16310836|0.17309511|0.52705818|0.24319166|0.36649531|0.28046551|0.37574095|0.6287787|0.23303694|0.35833052|0.7601378|0.32362443|0.45762652|0.34114626|0.58502626|0.30965874|0.42029136|0.55734968|0.26074246
Anguila|0.54213244|0.48555648|0.40181679|0.49025881|0.49278712|0.65437466|0.44656181|0.62935561|0.40995905|0.51864159|0.54057842|0.58497775|0.34706753|0.36396375|0.5672524|0.55554253|0.51878631|0.78828907|0.47285676|0.63340944|0.42281771|0.46265465|0.62856722|0.4311474|0.38597077|0.49199116|0.44244727|0.55630767|0.59916878|0.51523918|0.70593572|0.36384964|0.70541471|0.5086531|0.54726934|0.54279029|0.65184784|0.54600185|0.58903241|0.64592904|0.4403187|0.61593819|0.47337002
Antigua y Barbuda|0.69429421|0.37288439|0.63713664|0.43983036|0.59297448|0.70294845|0.39917892|0.56088209|0.79240322|0.41104311|0.50260949|0.45643166|0.5942151|0.24104503|0.78369951|0.55858886|0.48356238|0.71242249|0.76174861|0.59825569|0.58593726|0.63770115|0.72719049|0.40247443|0.50421226|0.38739836|0.78273022|0.58652544|0.58200902|0.47166407|0.7140038|0.48315531|0.68887126|0.45175129|0.47566283|0.41391277|0.6360842|0.51315796|0.60912246|0.54533923|0.65054071|0.64628464|0.75257015
Arabia Saudita|0.54598463|0.081836566|0.4342837|0.089190051|0.50783712|0.54469353|0.54931283|0.10153656|0.26954845|0.57599866|0.14615753|0.84452569|0.47586066|0.7169565|0.13739026|0.29532361|0.54627317|0.15760463|0.20220514|0.15090129|0.54387283|0.1100339|0.23611026|0.45049119|0.44173449|0.62777412|0.49225372|0.57300359|0.12081286|0.54849362|0.43681991|0.65631437|0.63453197|0.59081084|0.62289906|0.058441542|0.16230401|0.067212962|0.2977128|0.41794369|0.4840132|0.57050431|0.34293187
Argelia|0.71656841|0.3111788|0.24486446|0.23112407|0.30667704|0.3083421|0.65362442|0.43404114|0.52499831|0.79377913|0.39363855|0.36241394|0.19910377|0.47651148|0.41698945|0.16366069|0.35263211|0.56506526|0.31448725|0.3786124|0.26989228|0.35762525|0.49936864|0.34092444|0.22507684|0.21575662|0.58626169|0.30502048|0.41986501|0.33804679|0.46286976|0.52269292|0.3230024|0.34510183|0.76742041|0.31146127|0.47007382|0.39593834|0.56631446|0.3009901|0.70799696|0.21190971|0.31828764
Argentina|0.80608261|0.40327436|0.73045051|0.77418029|0.83197892|0.81078655|0.79158831|0.51898307|0.37667301|0.78833264|0.63615847|0.46393192|0.6907962|0.72842908|0.72732943|0.7299422|0.73210227|0.74236083|0.69000959|0.55356991|0.77042365|0.82126564|0.82204068|0.66301817|0.70206356|0.74375904|0.7555083|0.81555009|0.50107324|0.73174441|0.65303165|0.66100037|0.7360155|0.76549804|0.7895149|0.72236925|0.56031972|0.88769102|0.87470174|0.61297482|0.79979384|0.74695408|0.81076986
