Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación hospitalaria|Envases/Empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Vehículos y otros medios de transporte
Afganistán|0.45061401|0.072844096|0.59073746|0.15766747|0.19069821|0.12068902|0.2770074|0.29326954|0.47635275|0.38987792|0.12819193|0.22521397|0.1914784|0.085420318|0.14832442|0.23926586|0.15721451|0.0|0.098488502|0.14872001|0.10110451|0.23158261|0.24901843|0.15625842|0.14078738|0.35165942|0.10937986|0.43195421|0.20324954|0.074692808|0.1864275|0.10926641|0.1282497|0.057913441|0.25587535|0.13989839|0.094357952|0.13714758|0.14306855|0.12231314|0.13317837|0.22777855|0.12047807
Albania|0.28484434|0.43816462|0.3707563|0.34158629|0.45994151|0.42670912|0.22159192|0.49468958|0.4184435|0.57622629|0.43774599|0.43329233|0.44801152|0.49090439|0.48501527|0.27196854|0.4300521|0.38994479|0.57749474|0.41610157|0.53800607|0.28620902|0.37781918|0.36517823|0.45643193|0.33497393|0.27842033|0.40671071|0.36096615|0.40042716|0.45240587|0.29253739|0.38782144|0.3144958|0.30116272|0.38262898|0.22707656|0.42320353|0.38999534|0.527174|0.26905146|0.50515872|0.29657331
Alemania|0.8873657|0.8286432|0.81803989|0.71617436|0.95303071|0.88406587|0.90705884|0.91650689|0.66289037|0.94232202|0.92109019|0.83546835|0.91974312|0.95242429|0.97249717|0.91994667|0.76363742|0.85132551|0.87107372|0.87522221|0.72394657|0.87270534|0.8409633|0.89037049|0.97512424|1.0|0.88043034|0.91450965|0.91548812|0.93463039|0.87839675|0.8984828|0.95106769|0.85707259|0.93393844|0.89456451|1.0|0.89871216|0.89663231|0.74085057|0.90480924|0.98050296|0.9102838
Andorra|0.56716299|0.7698406|0.83223599|0.46281397|0.70967531|0.73251641|0.59272724|0.7896328|0.54372501|0.5835557|0.89614725|0.85187221|0.72934115|0.49560368|0.77698076|0.87716597|0.78954923|0.97235942|0.73473454|0.95665932|0.78489804|0.54282391|0.54446977|0.58010489|0.69918048|0.7749542|0.54897732|0.77162176|0.81873608|0.78433526|0.76952696|0.55044413|0.69941437|0.84852332|0.50293243|0.76990634|0.76455033|0.65227735|0.47562027|0.80591023|0.52113926|0.79006928|0.81553423
Angola|0.31538975|0.13012105|0.23360361|0.20667136|0.22536057|0.27760205|0.21739933|0.39849883|0.366588|0.12177262|0.19447723|0.32234773|0.19531131|0.12854858|0.1793894|0.20805573|0.24805093|0.062874213|0.1145568|0.38471085|0.15106796|0.25242004|0.23520488|0.20730507|0.1813291|0.13790104|0.22579491|0.10787942|0.30984697|0.17903882|0.21763095|0.31514862|0.117908|0.26044747|0.29257736|0.26706576|0.21461184|0.31110552|0.24858445|0.44122261|0.19466871|0.15294668|0.2552698
Anguila|0.26118293|0.39190322|0.25477281|0.31209707|0.44779372|0.40656459|0.27096525|0.40199864|0.3324061|0.36440533|0.46931189|0.48366588|0.26599255|0.3090452|0.27622619|0.35418963|0.32123914|0.94302917|0.41985971|0.43132961|0.26151857|0.30258238|0.24370998|0.33738655|0.60101986|0.27784282|0.34703872|0.34735054|0.33077386|0.38655612|0.47949207|0.36240169|0.53877306|0.45023894|0.26838923|0.48875242|0.45038974|0.2835232|0.26225933|0.43230939|0.31304863|0.29008755|0.39700377
Antigua y Barbuda|0.46131778|0.68393052|0.67794943|0.51712298|0.56633705|0.58141363|0.4032926|0.81183386|0.49072081|0.77927393|0.82388616|0.68011725|0.5150401|0.56487256|0.40766877|0.79669809|0.56177843|0.52494323|0.51073122|0.79374123|0.56767726|0.41159457|0.49473476|0.41217074|0.64094365|0.6679529|0.3980388|0.55042273|0.74147773|0.47367927|0.6916796|0.42673621|0.69034624|0.65834326|0.34994179|0.66748047|0.41038382|0.32178158|0.35901672|0.66831434|0.39254504|0.40152806|0.49790177
Arabia Saudita|0.66652536|0.52233028|0.77612489|0.37013188|0.72583199|0.72395432|0.6752106|0.8535316|0.42638981|0.64422035|0.36014915|0.76088166|0.66578621|0.67406547|0.6415177|0.69554597|0.71334982|0.39815727|0.61094499|0.63218868|0.73521239|0.74567986|0.45141068|0.76973444|0.67512858|0.75684595|0.67980886|0.74845481|0.84169126|0.65850782|0.71719587|0.72311366|0.71858037|0.63367063|0.76315129|0.72914553|0.58381724|0.6781255|0.50172448|0.11359003|0.5546664|0.65658498|0.86985689
Argelia|0.38623989|0.12295407|0.16601592|0.095237069|0.34040815|0.15537201|0.20497559|0.13013431|0.38581857|0.4501729|0.083907455|0.28545651|0.27411059|0.38508457|0.24835554|0.12553851|0.11917289|0.20670316|0.20553818|0.08281932|0.1543905|0.22690144|0.17053196|0.24108383|0.24055904|0.14859873|0.17112954|0.21423754|0.43047506|0.22943181|0.20485552|0.26575646|0.25918964|0.099117815|0.47135007|0.12368944|0.15350561|0.37897372|0.37097061|0.0584713|0.20287913|0.28080669|0.15262899
Argentina|0.1821001|0.24084774|0.17464745|0.80373281|0.39715385|0.34354711|0.66896218|0.1851546|0.15133497|0.71395046|0.17537743|0.26715568|0.54878473|0.43814269|0.47873586|0.41191769|0.41633832|0.4225325|0.26629707|0.19865558|0.40045887|0.52498609|0.50042844|0.62221646|0.34843677|0.19938332|0.54282796|0.31067151|0.14532563|0.4764868|0.43172082|0.53274035|0.29297093|0.33952361|0.51095879|0.4176293|0.54583925|0.56375372|0.64143193|0.48721638|0.70466208|0.36425626|0.4295463
